Time(sec),A29R1LR84VSJU
310.0,79.68360433604333
311.0,80.2623886953155
312.0,80.84117305458767
313.0,81.41995741385983
314.0,81.998741773132
315.0,82.57752613240416
316.0,83.15631049167632
317.0,83.73509485094849
318.0,84.31387921022065
319.0,84.89266356949281
320.0,85.47144792876497
321.0,86.05023228803714
322.0,86.6290166473093
323.0,87.20780100658146
324.0,87.78658536585363
325.0,88.36536972512579
326.0,88.94415408439797
327.0,89.52293844367013
328.0,90.10172280294229
329.0,90.68050716221445
330.0,91.25929152148662
331.0,91.8380758807588
332.0,92.41686024003096
333.0,92.99564459930312
334.0,93.57442895857528
335.0,94.15321331784745
336.0,94.73199767711961
337.0,95.31078203639177
338.0,95.88956639566393
339.0,96.4683507549361
340.0,97.04713511420826
341.0,97.62591947348042
342.0,98.20470383275259
343.0,98.78348819202475
344.0,90.59606095801216
345.0,34.86611111111111
346.0,-22.252171717171716
347.0,-69.54674603174604
348.0,-97.64053867403315
349.0,-97.67506906077348
350.0,-97.70959944751381
351.0,-97.74412983425415
352.0,-97.77866022099447
353.0,-97.81319060773481
354.0,-97.84772099447514
355.0,-97.88225138121547
356.0,-97.9167817679558
357.0,-97.95131215469613
358.0,-97.98584254143647
359.0,-98.0203729281768
360.0,-98.05490331491713
361.0,-98.08943370165746
362.0,-98.1239640883978
363.0,-98.15849447513813
364.0,-98.19302486187846
365.0,-98.22755524861878
366.0,-98.26208563535911
367.0,-98.29661602209944
368.0,-98.33114640883977
369.0,-98.36567679558011
370.0,-98.40020718232044
371.0,-98.43473756906077
372.0,-98.4692679558011
373.0,-98.50379834254144
374.0,-98.53832872928177
375.0,-98.5728591160221
376.0,-98.60738950276243
377.0,-98.64191988950276
378.0,-98.6764502762431
379.0,-98.71098066298342
380.0,-98.74551104972376
381.0,-98.78004143646409
382.0,-98.81457182320442
383.0,-98.84910220994475
384.0,-98.88363259668509
385.0,-98.91816298342542
386.0,-98.95269337016575
387.0,-98.98722375690608
388.0,-99.0217541436464
389.0,-99.05628453038675
390.0,-99.09081491712706
391.0,-99.1253453038674
392.0,-99.15987569060773
393.0,-99.19440607734808
394.0,-99.22893646408839
395.0,-99.26346685082873
396.0,-99.29799723756906
397.0,-99.33252762430939
398.0,-99.36705801104972
399.0,-99.40158839779005
400.0,-99.4361187845304
401.0,-99.47064917127072
402.0,-97.92292817679558
403.0,-74.67666666666666
404.0,-52.7
405.0,-41.4
406.0,-31.80833333333333
407.0,1.7833333333333332
408.0,35.2
409.0,42.80833333333333
410.0,48.45
411.0,77.2
412.0,89.1
413.0,93.86666666666666
414.0,94.75
415.0,97.96067415730337
416.0,97.87328339575531
417.0,97.78589263420724
418.0,97.69850187265918
419.0,97.61111111111111
420.0,97.52372034956304
421.0,97.43632958801498
422.0,97.34893882646692
423.0,97.26154806491886
424.0,97.17415730337078
425.0,97.08676654182273
426.0,96.99937578027466
427.0,96.9119850187266
428.0,96.82459425717852
429.0,96.73720349563045
430.0,96.6498127340824
431.0,96.56242197253434
432.0,96.47503121098626
433.0,96.3876404494382
434.0,96.30024968789014
435.0,96.21285892634208
436.0,96.125468164794
437.0,96.03807740324594
438.0,95.95068664169787
439.0,95.86329588014982
440.0,95.77590511860174
441.0,95.68851435705368
442.0,95.60112359550561
443.0,95.51373283395756
444.0,95.42634207240948
445.0,95.33895131086142
446.0,95.25156054931335
447.0,95.16416978776529
448.0,95.07677902621722
449.0,94.98938826466916
450.0,94.9019975031211
451.0,94.81460674157303
452.0,94.72721598002497
453.0,94.6398252184769
454.0,94.55243445692884
455.0,94.46504369538077
456.0,94.3776529338327
457.0,94.29026217228464
458.0,94.20287141073658
459.0,94.11548064918851
460.0,94.02808988764045
461.0,93.94069912609238
462.0,93.85330836454432
463.0,93.76591760299625
464.0,93.67852684144819
465.0,93.59113607990011
466.0,93.50374531835206
467.0,93.416354556804
468.0,92.52540574282146
469.0,87.76666666666667
470.0,37.81666666666667
471.0,28.794999999999998
472.0,21.727083333333333
473.0,6.747020202020202
474.0,-90.96875
475.0,-99.7
476.0,-100.0
477.0,-100.0
478.0,-100.0
479.0,-100.0
480.0,-100.0
481.0,-100.0
482.0,-100.0
483.0,-100.0
484.0,-100.0
485.0,-100.0
486.0,-100.0
487.0,-100.0
488.0,-100.0
489.0,-100.0
490.0,-100.0
491.0,-100.0
492.0,-100.0
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
525.0,-100.0
526.0,-100.0
527.0,-100.0
528.0,-100.0
529.0,-100.0
530.0,-100.0
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
