Time(sec),A3TDR6MXS6UO5
378.0,25.3498213367924
379.0,25.629882033334166
380.0,25.90994272987593
381.0,26.190003426417697
382.0,26.470064122959464
383.0,26.75012481950123
384.0,27.03018551604299
385.0,27.310246212584758
386.0,27.590306909126525
387.0,27.870367605668285
388.0,28.150428302210052
389.0,28.43048899875182
390.0,28.710549695293587
391.0,28.99061039183535
392.0,29.270671088377117
393.0,29.550731784918884
394.0,29.83079248146065
395.0,30.11085317800241
396.0,30.39091387454418
397.0,30.670974571085946
398.0,30.951035267627713
399.0,31.231095964169477
400.0,31.511156660711244
401.0,31.79121735725301
402.0,32.07127805379478
403.0,32.35133875033654
404.0,32.631399446878305
405.0,32.91146014342007
406.0,33.19152083996183
407.0,33.4715815365036
408.0,33.75164223304537
409.0,34.031702929587134
410.0,34.311763626128894
411.0,34.59182432267066
412.0,34.87188501921243
413.0,35.151945715754195
414.0,35.43200641229596
415.0,35.71206710883773
416.0,35.992127805379496
417.0,36.272188501921256
418.0,36.552249198463024
419.0,36.83230989500479
420.0,37.11237059154656
421.0,37.392431288088325
422.0,37.672491984630085
423.0,37.95255268117185
424.0,38.23261337771362
425.0,38.51267407425538
426.0,38.792734770797146
427.0,39.07279546733891
428.0,39.35285616388068
429.0,39.63291686042244
430.0,39.91297755696421
431.0,40.193038253505975
432.0,40.47309895004774
433.0,40.75315964658951
434.0,41.033220343131276
435.0,41.31328103967304
436.0,41.5933417362148
437.0,41.87340243275657
438.0,42.15346312929834
439.0,42.433523825840105
440.0,42.71358452238187
441.0,42.99364521892363
442.0,43.2737059154654
443.0,43.553766612007166
444.0,43.833827308548926
445.0,44.11388800509069
446.0,44.39394870163246
447.0,44.67400939817422
448.0,44.95407009471599
449.0,45.234130791257755
450.0,45.51419148779952
451.0,45.79425218434129
452.0,46.074312880883056
453.0,46.35437357742482
454.0,46.63443427396659
455.0,46.91449497050835
456.0,47.19455566705012
457.0,47.474616363591885
458.0,47.75467706013365
459.0,48.03473775667541
460.0,48.31479845321718
461.0,48.594859149758946
462.0,48.87491984630071
463.0,49.15498054284247
464.0,49.43504123938424
465.0,49.71510193592601
466.0,49.99516263246777
467.0,50.275223329009535
468.0,50.5552840255513
469.0,50.83534472209307
470.0,51.115405418634836
471.0,51.3954661151766
472.0,51.67552681171836
473.0,51.95558750826014
474.0,52.2356482048019
475.0,52.51570890134367
476.0,52.79576959788543
477.0,53.07583029442719
478.0,53.355890990968966
479.0,53.635951687510726
480.0,53.916012384052486
481.0,54.19607308059426
482.0,54.47613377713602
483.0,54.75619447367778
484.0,55.036255170219555
485.0,55.316315866761315
486.0,55.59637656330308
487.0,55.87643725984485
488.0,56.156497956386616
489.0,56.43655865292838
490.0,56.71661934947015
491.0,56.99668004601192
492.0,57.276740742553685
493.0,57.556801439095445
494.0,57.83686213563722
495.0,58.11692283217898
496.0,58.39698352872074
497.0,58.67704422526251
498.0,58.95710492180427
499.0,59.23716561834603
500.0,59.51722631488781
501.0,59.79728701142957
502.0,60.07734770797133
503.0,60.3574084045131
504.0,60.63746910105486
505.0,60.91752979759663
506.0,61.197590494138396
507.0,61.47765119068016
508.0,61.75771188722193
509.0,62.0377725837637
510.0,62.317833280305464
511.0,62.59789397684723
512.0,62.87795467338899
513.0,63.158015369930766
514.0,63.438076066472526
515.0,63.718136763014286
516.0,63.99819745955606
517.0,64.27825815609782
518.0,64.55831885263959
519.0,64.83837954918135
520.0,65.11844024572312
521.0,65.39850094226487
