,A1NRY8F9U4AYE,A3TDR6MXS6UO5,A2YP8M9VHFXZV
7822,-100.0,-100.0,100.0
7862,-100.0,-100.0,100.0
7888,-100.0,-100.0,100.0
7914,-100.0,-100.0,100.0
7942,-100.0,-100.0,100.0
8047,-100.0,-100.0,100.0
8074,-100.0,-100.0,100.0
8088,-100.0,-100.0,100.0
8114,-100.0,-100.0,100.0
8142,-100.0,-100.0,100.0
8258,-100.0,-100.0,100.0
8288,-100.0,-100.0,100.0
8314,-100.0,-100.0,100.0
8341,-100.0,-100.0,100.0
8419,-100.0,-100.0,100.0
8446,-100.0,-100.0,100.0
8472,-100.0,-100.0,100.0
8498,-100.0,-100.0,100.0
8593,-100.0,-100.0,100.0
8620,-100.0,-100.0,100.0
8645,-100.0,-100.0,100.0
8671,-100.0,-100.0,100.0
8739,-100.0,-100.0,100.0
8766,-100.0,-100.0,100.0
8793,-100.0,-100.0,100.0
8901,-100.0,-100.0,100.0
8926,-100.0,-100.0,100.0
8939,-100.0,-100.0,100.0
9045,-100.0,-100.0,100.0
9071,-100.0,-100.0,100.0
9097,-100.0,-100.0,100.0
9124,-100.0,-100.0,100.0
9191,-100.0,-100.0,100.0
9216,-100.0,-100.0,100.0
9219,-100.0,-100.0,100.0
9235,-100.0,-100.0,100.0
9244,-100.0,-100.0,100.0
9269,-100.0,-100.0,100.0
9270,-100.0,-100.0,100.0
9287,-100.0,-100.0,100.0
9305,-100.0,-100.0,100.0
9322,-100.0,-100.0,100.0
9339,-100.0,-100.0,100.0
9349,-100.0,-100.0,100.0
9357,-100.0,-100.0,100.0
9364,-100.0,-100.0,100.0
9365,-100.0,-100.0,100.0
9382,-100.0,-100.0,100.0
9390,-100.0,-100.0,100.0
9400,-100.0,-100.0,100.0
9417,-100.0,-100.0,100.0
9434,-100.0,-100.0,100.0
9452,-100.0,-100.0,100.0
9470,-100.0,-100.0,100.0
9488,-100.0,-100.0,100.0
9496,-100.0,-100.0,100.0
9505,-100.0,-100.0,100.0
9522,-100.0,-100.0,100.0
9524,-100.0,-100.0,100.0
9541,-100.0,-100.0,100.0
9550,-100.0,-100.0,100.0
9558,-100.0,-100.0,100.0
9565,-100.0,-100.0,100.0
9583,-100.0,-100.0,100.0
9599,-100.0,-100.0,100.0
9617,-100.0,-100.0,100.0
9635,-100.0,-100.0,100.0
9642,-100.0,-100.0,100.0
9653,-100.0,-100.0,100.0
9670,-100.0,-100.0,100.0
9671,-100.0,-100.0,100.0
9688,-100.0,-100.0,100.0
9697,-100.0,-100.0,100.0
9706,-100.0,-100.0,100.0
9723,-100.0,-100.0,100.0
9741,-100.0,-100.0,100.0
9758,-100.0,-100.0,100.0
9775,-100.0,-100.0,100.0
9776,-100.0,-100.0,100.0
9791,-100.0,-100.0,100.0
9793,-100.0,-100.0,100.0
9800,-100.0,-100.0,100.0
9818,-100.0,-100.0,100.0
9820,-100.0,-100.0,100.0
9836,-100.0,-100.0,100.0
9853,-100.0,-100.0,100.0
9871,-100.0,-100.0,100.0
9872,-100.0,-100.0,100.0
9888,-100.0,-100.0,100.0
9905,-100.0,-100.0,100.0
9921,-100.0,-100.0,100.0
9923,-100.0,-100.0,100.0
9941,-100.0,-100.0,100.0
9959,-100.0,-100.0,100.0
9977,-100.0,-100.0,100.0
9994,-100.0,-100.0,100.0
9996,-100.0,-100.0,100.0
10001,-100.0,-100.0,100.0
10018,-100.0,-100.0,100.0
10036,-100.0,-100.0,100.0
10043,-100.0,-100.0,100.0
10054,-100.0,-100.0,100.0
10071,-100.0,-100.0,100.0
10088,-100.0,-100.0,100.0
10106,-100.0,-100.0,100.0
10121,-100.0,-100.0,100.0
10125,-100.0,-100.0,100.0
10142,-100.0,-100.0,100.0
10148,-100.0,-100.0,100.0
10159,-100.0,-100.0,100.0
10173,-100.0,-100.0,100.0
10176,-100.0,-100.0,100.0
10194,-100.0,-100.0,100.0
10201,-100.0,-100.0,100.0
10212,-100.0,-100.0,100.0
10219,-100.0,-100.0,100.0
10237,-100.0,-100.0,100.0
10254,-100.0,-100.0,100.0
10268,-100.0,-100.0,100.0
10276,-100.0,-100.0,100.0
10289,-100.0,-100.0,100.0
10296,-100.0,-100.0,100.0
10307,-100.0,-100.0,100.0
10322,-100.0,-100.0,100.0
10325,-100.0,-100.0,100.0
10342,-100.0,-100.0,100.0
10347,-100.0,-100.0,100.0
10359,-100.0,-100.0,100.0
10367,-100.0,-100.0,100.0
10377,-100.0,-100.0,100.0
10386,-100.0,-100.0,100.0
10396,-100.0,-100.0,100.0
10413,-100.0,-100.0,100.0
10415,-100.0,-100.0,100.0
10420,-100.0,-100.0,100.0
10421,-100.0,-100.0,100.0
10426,-100.0,-100.0,100.0
10437,-100.0,-100.0,100.0
10442,-100.0,-100.0,100.0
10445,-100.0,-100.0,100.0
10454,-100.0,-100.0,100.0
10462,-100.0,-100.0,100.0
10467,-100.0,-100.0,100.0
10472,-100.0,-100.0,100.0
10480,-100.0,-100.0,100.0
10490,-100.0,-100.0,100.0
10494,-100.0,-100.0,100.0
10496,-100.0,-100.0,100.0
10507,-100.0,-100.0,100.0
10514,-100.0,-100.0,100.0
10525,-100.0,-100.0,100.0
10532,-100.0,-100.0,100.0
10543,-100.0,-100.0,100.0
10549,-100.0,-100.0,100.0
10560,-100.0,-100.0,100.0
10567,-100.0,-100.0,100.0
10577,-100.0,-100.0,100.0
