,AXKVHJHF1EOVT,AQNCH42WD4ITI,A1XY2JMPVJCF4,A93LDI16XJWI8
170272,-58.0,-91.0,-82.0,-41.0
170285,-58.0,-91.0,-82.0,-41.0
170303,-58.0,-91.0,-82.0,-41.0
170305,-57.666666666666664,-91.0,-82.0,-41.0
170319,-57.333333333333336,-91.0,-82.0,-41.0
170321,-57.0,-91.0,-82.0,-41.0
170335,-57.0,-91.0,-82.0,-41.0
170339,-57.0,-91.0,-82.0,-41.0
170345,-57.0,-91.0,-82.0,-40.0
170347,-57.0,-91.0,-82.0,-40.0
170352,-57.0,-91.0,-82.0,-39.5
170363,-57.0,-91.0,-82.0,-39.0
170365,-57.0,-91.0,-82.0,-39.0
170369,-57.0,-91.0,-82.0,-38.5
170379,-57.0,-91.0,-82.0,-38.0
170383,-56.666666666666664,-91.0,-82.0,-38.0
170386,-56.333333333333336,-91.0,-82.0,-37.666666666666664
170394,-56.0,-91.0,-82.0,-37.333333333333336
170397,-56.0,-91.0,-82.0,-37.0
170399,-56.0,-91.0,-82.0,-37.0
170401,-56.0,-91.0,-82.0,-36.5
170415,-56.0,-91.0,-82.0,-36.0
170417,-56.0,-91.0,-82.0,-36.0
170419,-56.0,-91.0,-82.0,-35.5
170434,-56.0,-91.0,-82.0,-35.0
170436,-56.0,-91.0,-82.0,-35.0
170450,-56.0,-91.0,-82.0,-34.5
170451,-55.75,-91.0,-82.0,-34.0
170452,-55.5,-91.0,-82.0,-34.0
170454,-55.25,-91.0,-82.0,-34.0
170468,-55.0,-91.0,-82.0,-33.5
170469,-55.0,-91.0,-82.0,-33.0
170470,-55.0,-91.0,-82.0,-33.0
170472,-55.0,-91.0,-82.0,-33.0
170485,-55.0,-91.0,-82.0,-32.0
170488,-55.0,-91.0,-82.0,-31.0
170490,-55.0,-91.0,-82.0,-31.0
170502,-55.0,-91.0,-82.0,-30.5
170504,-55.0,-91.0,-82.0,-30.0
170506,-55.0,-91.0,-82.0,-30.0
170512,-54.666666666666664,-91.0,-82.0,-29.0
170518,-54.333333333333336,-91.0,-82.0,-29.0
170526,-54.0,-91.0,-82.0,-29.0
170537,-54.0,-91.0,-82.0,-29.0
170554,-54.0,-91.0,-82.0,-29.0
170570,-54.0,-91.0,-82.0,-29.0
170572,-53.666666666666664,-91.0,-82.0,-29.0
170585,-53.333333333333336,-91.0,-82.0,-29.0
170587,-53.0,-91.0,-82.0,-29.0
170601,-53.0,-91.0,-82.0,-29.0
170619,-53.0,-91.0,-82.0,-29.0
170633,-53.0,-91.0,-82.0,-29.0
170635,-52.5,-91.0,-82.0,-29.0
170648,-52.0,-91.0,-82.0,-29.0
170652,-52.0,-91.0,-82.0,-29.0
170671,-52.0,-91.0,-82.0,-29.0
170685,-52.0,-91.0,-82.0,-29.0
170687,-52.0,-91.0,-82.0,-29.0
170702,-51.0,-91.0,-82.0,-29.0
170719,-51.0,-91.0,-82.0,-29.0
170736,-51.0,-91.0,-82.0,-29.0
170752,-51.0,-91.0,-82.0,-29.0
170769,-51.0,-91.0,-82.0,-29.0
170788,-51.0,-91.0,-82.0,-29.0
170802,-51.0,-91.0,-82.0,-29.0
170821,-51.0,-91.0,-82.0,-29.0
170836,-51.0,-91.0,-82.0,-29.0
170851,-51.0,-91.0,-82.0,-29.0
170869,-51.0,-91.0,-82.0,-29.0
170885,-51.0,-91.0,-82.0,-29.0
170905,-51.0,-91.0,-82.0,-29.0
170919,-51.0,-91.0,-82.0,-29.0
170935,-51.0,-91.0,-82.0,-29.0
170951,-51.0,-91.0,-82.0,-29.0
170969,-51.0,-91.0,-82.0,-29.0
170988,-51.0,-91.0,-82.0,-29.0
171001,-51.0,-91.0,-82.0,-29.0
171019,-51.0,-91.0,-82.0,-29.0
171038,-51.0,-91.0,-82.0,-29.0
171052,-51.0,-91.0,-82.0,-29.0
171070,-51.0,-91.0,-82.0,-29.0
171085,-51.0,-91.0,-82.0,-29.0
171102,-51.0,-91.0,-82.0,-29.0
171118,-51.0,-91.0,-82.0,-29.0
171139,-51.0,-91.0,-82.0,-29.0
171151,-51.0,-91.0,-82.0,-29.0
171169,-51.0,-91.0,-82.0,-29.0
171185,-51.0,-91.0,-82.0,-29.0
171202,-51.0,-91.0,-82.0,-29.0
171219,-51.0,-91.0,-82.0,-29.0
171238,-51.0,-91.0,-82.0,-29.0
171252,-51.0,-91.0,-82.0,-29.0
171269,-51.0,-91.0,-82.0,-29.0
171285,-51.0,-91.0,-82.0,-29.0
171301,-51.0,-91.0,-82.0,-29.0
171318,-51.0,-91.0,-82.0,-29.0
171336,-51.0,-91.0,-82.0,-29.0
171352,-51.0,-91.0,-82.0,-29.0
171370,-51.0,-91.0,-82.0,-29.0
171385,-51.0,-91.0,-82.0,-29.0
171401,-51.0,-91.0,-82.0,-29.0
171418,-51.0,-91.0,-82.0,-29.0
171438,-51.0,-91.0,-82.0,-29.0
171451,-51.0,-91.0,-82.0,-29.0
171469,-51.0,-91.0,-82.0,-29.0
171485,-51.0,-91.0,-82.0,-29.0
171502,-51.0,-91.0,-82.0,-29.0
171518,-51.0,-91.0,-82.0,-29.0
171551,-51.0,-91.0,-82.0,-29.0
171568,-51.0,-91.0,-82.0,-29.0
171585,-51.0,-91.0,-82.0,-29.0
171601,-51.0,-91.0,-82.0,-29.0
171618,-51.0,-91.0,-82.0,-29.0
171635,-51.0,-91.0,-82.0,-29.0
171653,-51.0,-91.0,-82.0,-29.0
171668,-51.0,-91.0,-82.0,-29.0
171685,-51.0,-91.0,-82.0,-29.0
171701,-51.0,-91.0,-82.0,-29.0
171718,-51.0,-91.0,-82.0,-29.0
171735,-51.0,-91.0,-82.0,-29.0
171752,-51.0,-91.0,-82.0,-29.0
171768,-51.0,-91.0,-82.0,-29.0
171785,-51.0,-91.0,-82.0,-29.0
171801,-51.0,-91.0,-82.0,-29.0
171818,-51.0,-91.0,-82.0,-29.0
171835,-51.0,-91.0,-82.0,-29.0
171851,-51.0,-91.0,-82.0,-29.0
171852,-51.0,-91.0,-82.0,-29.0
171868,-51.0,-91.0,-82.0,-29.0
171871,-51.0,-91.0,-82.0,-29.0
171885,-51.0,-91.0,-82.0,-29.0
171901,-51.0,-91.0,-82.0,-29.0
171902,-51.0,-91.0,-82.0,-29.0
171918,-51.0,-91.0,-82.0,-29.0
171935,-51.0,-91.0,-82.0,-29.0
171951,-51.0,-91.0,-82.0,-29.0
171952,-51.0,-91.0,-82.0,-29.0
171968,-51.0,-91.0,-82.0,-29.0
171970,-51.0,-91.0,-82.0,-29.0
171985,-51.0,-91.0,-82.0,-29.0
172002,-51.0,-91.0,-82.0,-29.0
172018,-51.0,-91.0,-82.0,-29.0
172035,-51.0,-91.0,-82.0,-29.0
172052,-51.0,-91.0,-82.0,-29.0
172068,-51.0,-91.0,-82.0,-29.0
172085,-51.0,-91.0,-82.0,-29.0
172102,-51.0,-91.0,-82.0,-29.0
172118,-51.0,-91.0,-82.0,-29.0
172135,-51.0,-91.0,-82.0,-29.0
172152,-51.0,-91.0,-82.0,-29.0
172169,-51.0,-91.0,-82.0,-29.0
172185,-51.0,-91.0,-82.0,-29.0
172202,-51.0,-91.0,-82.0,-29.0
172219,-51.0,-91.0,-82.0,-29.0
172235,-51.0,-91.0,-82.0,-29.0
172252,-51.0,-91.0,-82.0,-29.0
172269,-51.0,-91.0,-82.0,-29.0
172287,-51.0,-91.0,-82.0,-29.0
172302,-51.0,-91.0,-82.0,-29.0
172319,-51.0,-91.0,-82.0,-29.0
172335,-51.0,-91.0,-82.0,-29.0
172352,-51.0,-91.0,-82.0,-29.0
172369,-51.0,-91.0,-82.0,-29.0
172386,-51.0,-91.0,-82.0,-29.0
172402,-51.0,-91.0,-82.0,-29.0
172419,-51.0,-91.0,-82.0,-29.0
172435,-51.0,-91.0,-82.0,-29.0
172452,-51.0,-91.0,-82.0,-29.0
173453,-51.0,-91.0,-82.0,-29.0
173470,-52.0,-91.0,-82.0,-29.0
173505,-52.0,-91.0,-82.0,-29.0
173515,-53.0,-91.0,-82.0,-29.0
173548,-53.0,-91.0,-82.0,-29.0
173563,-54.0,-91.0,-82.0,-29.0
173614,-54.0,-91.0,-82.0,-29.0
173632,-55.0,-91.0,-82.0,-29.0
173645,-55.0,-91.0,-82.0,-29.0
173669,-55.5,-91.0,-82.0,-29.0
173674,-56.0,-91.0,-82.0,-29.0
173685,-56.0,-91.0,-82.0,-29.0
173722,-56.0,-91.0,-82.0,-29.0
173746,-57.0,-91.0,-82.0,-29.0
173792,-57.0,-91.0,-82.0,-29.0
173808,-58.0,-91.0,-82.0,-29.0
173838,-58.0,-91.0,-82.0,-29.0
173856,-59.0,-91.0,-82.0,-29.0
173897,-59.0,-91.0,-82.0,-29.0
173913,-60.0,-91.0,-82.0,-29.0
173951,-60.0,-91.0,-82.0,-29.0
173953,-60.333333333333336,-91.0,-82.0,-29.0
173969,-60.666666666666664,-91.0,-82.0,-29.0
173980,-61.0,-91.0,-82.0,-29.0
173998,-61.0,-91.0,-82.0,-29.0
174030,-62.0,-91.0,-82.0,-29.0
174038,-62.0,-91.0,-82.0,-29.0
174071,-62.5,-91.0,-82.0,-29.0
174076,-63.0,-91.0,-82.0,-29.0
174088,-63.0,-91.0,-82.0,-29.0
174103,-63.0,-90.0,-82.0,-29.0
174104,-63.0,-90.0,-82.0,-29.0
174106,-63.0,-90.0,-82.0,-29.0
