,AU2980AA60A2C,AF8GOPFSTWCH8
465328,-100.0,-100.0
465345,-100.0,-100.0
467963,-100.0,-100.0
467983,-100.0,-100.0
468017,-100.0,-100.0
468034,-100.0,-100.0
468183,-100.0,-100.0
468216,-100.0,-100.0
468252,-100.0,-100.0
468271,-100.0,-100.0
468415,-100.0,-100.0
468435,-100.0,-100.0
468450,-100.0,-100.0
468466,-100.0,-100.0
468482,-100.0,-100.0
468499,-100.0,-100.0
468517,-100.0,-100.0
468632,-100.0,-100.0
468653,-100.0,-100.0
468668,-100.0,-100.0
468683,-100.0,-100.0
468698,-100.0,-100.0
468716,-100.0,-100.0
468832,-100.0,-100.0
468851,-100.0,-100.0
468867,-100.0,-100.0
468881,-100.0,-100.0
468900,-100.0,-100.0
468914,-100.0,-100.0
469031,-100.0,-100.0
469051,-100.0,-100.0
469070,-100.0,-100.0
469082,-100.0,-100.0
469100,-100.0,-100.0
469234,-100.0,-100.0
469250,-100.0,-100.0
469268,-100.0,-100.0
469280,-100.0,-100.0
469298,-100.0,-100.0
469317,-100.0,-100.0
469331,-100.0,-100.0
469349,-100.0,-100.0
475907,-100.0,-100.0
475943,-99.0,-100.0
475992,-97.0,-100.0
476027,-95.0,-100.0
476761,-95.0,-100.0
476807,-95.0,-99.0
476842,-95.0,-97.0
476877,-95.0,-94.0
476878,-95.0,
477933,-95.0,
477934,-95.0,-91.0
477968,-95.0,-90.0
478015,-95.0,-88.0
478050,-95.0,-85.0
478051,-95.0,
479212,-95.0,
479221,-95.0,
479222,-95.0,-84.0
479229,-95.0,-84.25
479245,-95.0,-84.5
479262,-95.0,-84.75
479269,-95.0,-85.0
479278,-95.0,-85.66666666666667
479295,-95.0,-86.33333333333333
479304,-95.0,-87.0
479312,-95.0,-87.5
479328,-95.0,-88.0
479345,-95.0,-88.5
479350,-95.0,-89.0
479362,-95.0,-89.66666666666667
479379,-95.0,-90.33333333333333
479385,-95.0,-91.0
480186,-95.0,-91.0
480221,-95.0,-90.0
480267,-95.0,-88.0
480302,-95.0,-85.0
480348,-95.0,-83.0
480349,-95.0,
481945,-95.0,
481962,-95.0,
481978,-95.0,
481995,-95.0,
482012,-95.0,
482028,-95.0,
482045,-95.0,
482061,-95.0,
482078,-95.0,
482890,-95.0,
482891,-95.0,-84.0
482938,-95.0,-85.0
482972,-95.0,-87.0
483007,-95.0,-89.0
483054,-95.0,-92.0
483100,-95.0,-94.0
483135,-95.0,-97.0
483181,-95.0,-99.0
483681,-95.0,-99.0
483715,-95.0,-100.0
483878,-95.0,-100.0
483898,-95.0,-100.0
483949,-95.0,-100.0
483996,-95.0,-100.0
484046,-95.0,-100.0
484229,-95.0,-100.0
484248,-95.0,-100.0
484274,-95.0,-100.0
484279,-95.5,-100.0
484293,-96.0,-100.0
484313,-96.5,-100.0
484323,-97.0,-100.0
484329,-97.5,-100.0
484342,-98.0,-100.0
484373,-100.0,-100.0
484379,-100.0,-100.0
484401,-100.0,-100.0
485462,-100.0,-100.0
485482,-100.0,-100.0
485495,-100.0,-100.0
485512,-100.0,-100.0
485528,-100.0,-100.0
485545,-100.0,-100.0
485562,-100.0,-100.0
485578,-100.0,-100.0
485595,-100.0,-100.0
485612,-100.0,-100.0
485628,-100.0,-100.0
485645,-100.0,-100.0
486230,-100.0,-100.0
486250,-100.0,-100.0
486279,-100.0,-100.0
486313,-100.0,-100.0
486332,-100.0,-100.0
486380,-100.0,-100.0
486412,-100.0,-100.0
486445,-100.0,-100.0
486646,-100.0,-100.0
486666,-100.0,-100.0
486728,-100.0,-100.0
486745,-100.0,-100.0
486762,-100.0,-100.0
486778,-100.0,-100.0
486795,-100.0,-100.0
486812,-100.0,-100.0
486828,-100.0,-100.0
486845,-100.0,-100.0
486862,-100.0,-100.0
486878,-100.0,-100.0
486895,-100.0,-100.0
486912,-100.0,-100.0
486928,-100.0,-100.0
486945,-100.0,-100.0
486962,-100.0,-100.0
486978,-100.0,-100.0
486995,-100.0,-100.0
487012,-100.0,-100.0
487028,-100.0,-100.0
487045,-100.0,-100.0
487062,-100.0,-100.0
487078,-100.0,-100.0
487095,-100.0,-100.0
487112,-100.0,-100.0
487128,-100.0,-100.0
487145,-100.0,-100.0
487162,-100.0,-100.0
487178,-100.0,-100.0
487195,-100.0,-100.0
487212,-100.0,-100.0
487228,-100.0,-100.0
487245,-100.0,-100.0
487262,-100.0,-100.0
487278,-100.0,-100.0
487295,-100.0,-100.0
487312,-100.0,-100.0
487945,-100.0,-100.0
487962,-100.0,-100.0
487978,-100.0,-100.0
487995,-100.0,-100.0
488012,-100.0,-100.0
488028,-100.0,-100.0
488045,-100.0,-100.0
488062,-100.0,-100.0
488078,-100.0,-100.0
488095,-100.0,-100.0
488112,-100.0,-100.0
488128,-100.0,-100.0
488145,-100.0,-100.0
488162,-100.0,-100.0
488179,-100.0,-100.0
488195,-100.0,-100.0
488212,-100.0,-100.0
501944,-100.0,-100.0
501964,-100.0,-100.0
501996,-100.0,-100.0
502011,-100.0,-100.0
502029,-100.0,-100.0
502046,-100.0,-100.0
502064,-100.0,-100.0
502079,-100.0,-100.0
502097,-100.0,-100.0
502132,-100.0,-100.0
502164,-100.0,-100.0
502181,-100.0,-100.0
502212,-100.0,-100.0
502228,-100.0,-100.0
502244,-100.0,-100.0
502264,-100.0,-100.0
502298,-100.0,-100.0
502330,-100.0,-100.0
502346,-100.0,-100.0
502380,-100.0,-100.0
502396,-100.0,-100.0
502413,-100.0,-100.0
502431,-100.0,-100.0
502463,-100.0,-100.0
502498,-100.0,-100.0
502515,-100.0,-100.0
502546,-100.0,-100.0
502563,-100.0,-100.0
502577,-100.0,-100.0
502597,-100.0,-100.0
503763,-100.0,-100.0
503780,-100.0,-100.0
503811,-100.0,-100.0
503829,-100.0,-100.0
503845,-100.0,-100.0
503880,-100.0,-100.0
503978,-100.0,-100.0
504000,-100.0,-100.0
504028,-100.0,-100.0
504046,-100.0,-100.0
504078,-100.0,-100.0
504212,-100.0,-100.0
504231,-100.0,-100.0
504260,-100.0,-100.0
504280,-100.0,-100.0
504295,-100.0,-100.0
504894,-100.0,-100.0
504915,-100.0,-100.0
504944,-100.0,-100.0
504963,-100.0,-100.0
504996,-100.0,-100.0
505013,-100.0,-100.0
505051,-100.0,-100.0
505079,-100.0,-100.0
