,A1NRY8F9U4AYE,A3QI1RV4HQ9MO,A2Q3SM0KEI497
114918,,,-100.0
114944,,,-100.0
114961,,,-100.0
114995,,,-100.0
115017,,,-100.0
115058,,,-100.0
115068,,,-100.0
115092,,,-100.0
115101,,,-100.0
115126,,,-100.0
115127,,,-100.0
116352,,,-100.0
116369,,,-100.0
116382,,,-100.0
116415,,,-100.0
116422,,,-100.0
116423,,,-100.0
116443,,,-100.0
116470,,,-100.0
116474,,,-100.0
116504,,,-100.0
116511,,,-100.0
116535,,,-100.0
116541,,,-100.0
116550,,,-100.0
116587,,,-100.0
116591,,,-100.0
116620,,,-100.0
116625,,,-100.0
116637,,,-100.0
116642,,,-100.0
116654,,,-100.0
116665,,,-100.0
116668,,,-100.0
116687,,,-100.0
116693,,,-100.0
116717,,,-100.0
116721,,,-100.0
116725,,,-100.0
116730,,,-100.0
116741,,,-100.0
116758,,,-100.0
116775,,,-100.0
116779,,,-100.0
116781,,,-100.0
116785,,,-100.0
116801,,,-100.0
116814,,,-100.0
116829,,,-100.0
116837,,,-100.0
116841,,,-100.0
116857,,,-100.0
116881,,,-100.0
116889,,,-100.0
116904,,,-100.0
116920,,,-100.0
116933,,,-100.0
116936,,,-100.0
116943,,,-100.0
116947,,,-100.0
116960,,,-100.0
116964,,,-100.0
116981,,,-100.0
116996,,,-100.0
117000,,,-100.0
117005,,,-100.0
117017,,,-100.0
117021,,,-100.0
117024,,,-100.0
117038,,,-100.0
117046,,,-100.0
117055,,,-100.0
117070,,,-100.0
117085,,,-100.0
117090,,,-100.0
117102,,,-100.0
117107,,,-100.0
117118,,,-100.0
117131,,,-100.0
117134,,,-100.0
117149,,,-100.0
117153,,,-100.0
117165,,,-100.0
117170,,,-100.0
117185,,,-100.0
117190,,,-100.0
117199,,,-100.0
117204,,,-100.0
117219,,,-100.0
117224,,,-100.0
117233,,,-100.0
117240,,,-100.0
117251,,,-100.0
117259,,,-100.0
117267,,,-100.0
117272,,,-100.0
117285,,,-100.0
117289,,,-100.0
117299,,,-100.0
117322,,,-100.0
117336,,,-100.0
117341,,,-100.0
117350,,,-100.0
117358,,,-100.0
117360,,,-100.0
117364,,,-100.0
117388,,,-100.0
117397,,,-100.0
117404,,,-100.0
117428,,,-100.0
117432,,,-100.0
117448,,,-100.0
117453,,,-100.0
117462,,,-100.0
117466,,,-100.0
117478,,,-100.0
117500,,,-100.0
117509,,,-100.0
117515,,,-100.0
117529,,,-100.0
117533,,,-100.0
117553,,,-100.0
117567,,,-100.0
117578,,,-100.0
117594,,,-100.0
117602,,,-100.0
117609,,,-100.0
117618,,,-100.0
117629,,,-100.0
117640,,,-100.0
117647,,,-100.0
117662,,,-100.0
117668,,,-100.0
117679,,,-100.0
117687,,,-100.0
117697,,,-100.0
117701,,,-100.0
117708,,,-100.0
117714,,,-100.0
117723,,,-100.0
117730,,,-100.0
117747,,,-100.0
117752,,,-100.0
117764,,,-100.0
117768,,,-100.0
117781,,,-100.0
117786,,,-100.0
117788,,,-100.0
117791,,,-100.0
117803,,,-100.0
117808,,,-100.0
117825,,,-100.0
117830,,,-100.0
117845,,,-100.0
117852,,,-100.0
117862,,,-100.0
117866,,,-100.0
117893,,,-100.0
117907,,,-100.0
117930,,,-100.0
117944,,,-100.0
117946,,,-100.0
117950,,,-100.0
117960,,,-100.0
117981,,,-100.0
117994,,,-100.0
118001,,,-100.0
118010,,,-100.0
118020,,,-100.0
118033,,,-100.0
118037,,,-100.0
118044,,,-100.0
118052,,,-100.0
118061,,,-100.0
118066,,,-100.0
118076,,,-100.0
118084,,,-100.0
118095,,,-100.0
118101,,,-100.0
118115,,,-100.0
118131,,,-100.0
118146,,,-100.0
118153,,,-100.0
118162,,,-100.0
118168,,,-100.0
118179,,,-100.0
118197,,,-100.0
118209,,,-100.0
118214,,,-100.0
118222,,,-100.0
118250,,,-100.0
118264,,,-100.0
118271,,,-100.0
118281,,,-100.0
118286,,,-100.0
118297,,,-100.0
132915,,,-100.0
132936,,,-100.0
132954,,,-100.0
133013,,,-100.0
133032,,,-100.0
133083,,,-100.0
133097,,,-100.0
133167,,,-100.0
133229,,,-100.0
133256,,,-100.0
133322,,,-100.0
133347,,,-100.0
133371,,,-100.0
133469,,,-100.0
133486,,,-100.0
133520,,,-100.0
133567,,,-100.0
133627,,,-100.0
133637,,,-100.0
133653,,,-100.0
133682,,,-100.0
133726,,,-100.0
133827,,,-100.0
133892,,,-100.0
133903,,,-100.0
133966,,,-100.0
134153,,,-100.0
134187,,,-100.0
134199,,,-100.0
134245,,,-100.0
134325,,,-100.0
134352,,,-100.0
134396,,,-100.0
134431,,,-100.0
134502,,,-100.0
134548,,,-100.0
134661,,,-100.0
134722,,,-100.0
134733,,,-100.0
134814,,,-100.0
134834,,,-100.0
134856,,,-100.0
134900,,,-100.0
134962,,,-100.0
135008,,,-100.0
135065,,,-100.0
135077,,,-100.0
135099,,,-100.0
137526,,,-100.0
137548,,,-100.0
137622,,,-100.0
137651,,,-100.0
137665,,,-100.0
137691,,,-100.0
137705,,,-100.0
137759,,,-100.0
137804,,,-100.0
137831,,,-100.0
137863,,,-100.0
137895,,,-100.0
137970,,,-100.0
137989,,,-100.0
138058,,,-100.0
138101,,,-100.0
138131,,,-100.0
138171,,,-100.0
138190,,,-100.0
138242,,,-100.0
138265,,,-100.0
138317,,,-100.0
138346,,,-100.0
138371,,,-100.0
138459,,,-100.0
138553,,,-100.0
138595,,,-100.0
138616,,,-100.0
138630,,,-100.0
138653,,,-100.0
138666,,,-100.0
138715,,,-100.0
138982,,,-100.0
139015,,,-100.0
139074,,,-100.0
139099,,,-100.0
139205,,,-100.0
139262,,,-100.0
139279,,,-100.0
139304,,,-100.0
