,AOEGJLWFISOZQ,AU2980AA60A2C,AJALV8WOILDPA
244323,-100.0,-100.0,-94.0
244340,-100.0,-100.0,-95.0
244356,-100.0,-100.0,-96.0
244373,-100.0,-100.0,-98.0
244390,-100.0,-100.0,-99.0
244406,-100.0,-100.0,-100.0
245023,-100.0,-100.0,-100.0
245043,-100.0,-99.0,-100.0
245091,-100.0,-97.0,-100.0
245141,-100.0,-95.0,-100.0
245927,-100.0,-95.0,-100.0
245944,-100.0,-96.0,-100.0
245976,-100.0,-98.0,-100.0
246012,-100.0,-100.0,-100.0
247042,-100.0,-100.0,-100.0
247060,-100.0,-100.0,-99.0
247076,-100.0,-100.0,-98.0
247110,-100.0,-100.0,-96.0
247127,-100.0,-100.0,-94.0
247143,-100.0,-100.0,-93.0
247160,-100.0,-100.0,-92.0
247168,-100.0,-100.0,-91.5
247176,-100.0,-100.0,-91.0
247186,-100.0,-100.0,-90.5
247193,-100.0,-100.0,-90.0
247202,-100.0,-100.0,-90.0
247218,-100.0,-100.0,-90.0
247235,-100.0,-100.0,-90.0
247252,-100.0,-100.0,-90.0
247269,-100.0,-100.0,-90.0
247285,-100.0,-100.0,-90.0
247302,-100.0,-100.0,-90.0
247318,-100.0,-100.0,-90.0
247335,-100.0,-100.0,-90.0
247352,-100.0,-100.0,-90.0
247368,-100.0,-100.0,-90.0
247385,-100.0,-100.0,-90.0
247402,-100.0,-100.0,-90.0
247410,-100.0,-100.0,-90.0
247418,-100.0,-100.0,-90.5
247427,-100.0,-100.0,-91.0
247435,-100.0,-100.0,-91.5
247444,-100.0,-100.0,-92.0
247452,-100.0,-100.0,-92.5
247460,-100.0,-100.0,-93.0
247468,-100.0,-100.0,-93.5
247477,-100.0,-100.0,-94.0
247485,-100.0,-100.0,-94.5
247494,-100.0,-100.0,-95.0
247502,-100.0,-100.0,-96.0
247510,-100.0,-100.0,-97.0
247518,-100.0,-100.0,-97.5
247527,-100.0,-100.0,-98.0
247535,-100.0,-100.0,-98.5
247544,-100.0,-100.0,-99.0
247552,-100.0,-100.0,-99.5
247560,-100.0,-100.0,-100.0
247568,-100.0,-100.0,-100.0
247585,-100.0,-100.0,-100.0
247602,-100.0,-100.0,-100.0
247618,-100.0,-100.0,-100.0
247635,-100.0,-100.0,-100.0
247652,-100.0,-100.0,-100.0
247668,-100.0,-100.0,-100.0
247685,-100.0,-100.0,-100.0
247702,-100.0,-100.0,-100.0
247718,-100.0,-100.0,-100.0
247735,-100.0,-100.0,-100.0
247752,-100.0,-100.0,-100.0
247768,-100.0,-100.0,-100.0
247785,-100.0,-100.0,-100.0
247919,-100.0,-100.0,-100.0
247935,-100.0,-100.0,-100.0
247952,-100.0,-100.0,-100.0
247968,-100.0,-100.0,-100.0
247985,-100.0,-100.0,-100.0
248002,-100.0,-100.0,-100.0
248019,-100.0,-100.0,-100.0
248035,-100.0,-100.0,-100.0
