,AUOV735LIDVBE,A1NJP8CPZQER4,A4FNENGCDFSOG,AF8GOPFSTWCH8
32531,-100.0,-100.0,-84.0,-100.0
32545,-100.0,-100.0,-84.0,-100.0
32565,-100.0,-100.0,-84.0,-100.0
32573,-100.0,-100.0,-84.0,-100.0
32580,-100.0,-100.0,-84.0,-100.0
32644,-100.0,-100.0,-84.0,-100.0
32649,-100.0,-100.0,-84.0,-100.0
32655,-100.0,-100.0,-84.0,-100.0
32663,-100.0,-100.0,-84.0,-100.0
32680,-100.0,-100.0,-84.0,-100.0
32694,-100.0,-100.0,-84.0,-100.0
32696,-100.0,-100.0,-84.0,-100.0
32711,-100.0,-100.0,-84.0,-100.0
32723,-100.0,-100.0,-84.0,-100.0
32727,-100.0,-100.0,-84.0,-100.0
32735,-100.0,-100.0,-84.0,-100.0
32744,-100.0,-100.0,-84.0,-100.0
32746,-100.0,-100.0,-84.0,-100.0
32752,-100.0,-100.0,-84.0,-100.0
32761,-100.0,-100.0,-84.0,-100.0
32776,-100.0,-100.0,-84.0,-100.0
32777,-100.0,-100.0,-84.0,-100.0
32795,-100.0,-100.0,-84.0,-100.0
32797,-100.0,-100.0,-84.0,-100.0
32812,-100.0,-100.0,-84.0,-100.0
32828,-100.0,-100.0,-84.0,-100.0
32845,-100.0,-100.0,-84.0,-100.0
32856,-100.0,-100.0,-84.0,-100.0
32891,-100.0,-100.0,-84.0,-100.0
32914,-100.0,-100.0,-84.0,-100.0
32948,-100.0,-100.0,-84.0,-100.0
32972,-100.0,-100.0,-84.0,-100.0
32986,-100.0,-100.0,-84.0,-100.0
32996,-100.0,-100.0,-84.0,-100.0
33011,-100.0,-100.0,-84.0,-100.0
33029,-100.0,-100.0,-84.0,-100.0
33060,-100.0,-100.0,-84.0,-100.0
33072,-100.0,-100.0,-84.0,-100.0
33078,-100.0,-100.0,-84.0,-100.0
33094,-100.0,-100.0,-84.0,-100.0
33099,-100.0,-100.0,-84.0,-100.0
33101,-100.0,-100.0,-84.0,-100.0
33107,-100.0,-100.0,-84.0,-100.0
33111,-100.0,-100.0,-84.0,-100.0
33127,-100.0,-100.0,-84.0,-100.0
33135,-100.0,-100.0,-84.0,-100.0
33155,-100.0,-100.0,-84.0,-100.0
33164,-100.0,-100.0,-84.0,-100.0
33260,-100.0,-100.0,-84.0,-100.0
33270,-100.0,-100.0,-84.0,-100.0
33294,-100.0,-100.0,-84.0,-100.0
33312,-100.0,-100.0,-84.0,-100.0
33318,-100.0,-100.0,-84.0,-100.0
33328,-100.0,-100.0,-84.0,-100.0
33335,-100.0,-100.0,-84.0,-100.0
33344,-100.0,-100.0,-84.0,-100.0
33370,-100.0,-100.0,-84.0,-100.0
33378,-100.0,-100.0,-84.0,-100.0
33380,-100.0,-100.0,-84.0,-100.0
33483,-100.0,-100.0,-84.0,-100.0
33493,-100.0,-100.0,-84.0,-100.0
33577,-100.0,-100.0,-84.0,-100.0
