,A3UTSRN8QLKWE,A3ST8XFT4X93K,A2YN6Z2DAW88X,A6PO7JT39QQGP
29558,-100.0,-100.0,-100.0,-74.0
29709,-100.0,-100.0,-100.0,-74.0
29732,-100.0,-100.0,-100.0,-74.0
29757,-100.0,-100.0,-100.0,-74.0
29780,-100.0,-100.0,-100.0,-74.0
29785,-100.0,-100.0,-100.0,-74.0
29796,-100.0,-100.0,-100.0,-74.0
29828,-100.0,-100.0,-100.0,-74.0
29836,-100.0,-100.0,-100.0,-74.0
29839,-100.0,-100.0,-100.0,-74.0
29850,-100.0,-100.0,-100.0,-74.0
29905,-100.0,-100.0,-100.0,-74.0
29916,-100.0,-100.0,-100.0,-74.0
29931,-100.0,-100.0,-100.0,-74.0
29953,-100.0,-100.0,-100.0,-74.0
29974,-100.0,-100.0,-100.0,-74.0
29996,-100.0,-100.0,-100.0,-74.0
30014,-100.0,-100.0,-100.0,-74.0
30114,-100.0,-100.0,-100.0,-74.0
30136,-100.0,-100.0,-100.0,-74.0
30157,-100.0,-100.0,-100.0,-74.0
30183,-100.0,-100.0,-100.0,-74.0
30211,-100.0,-100.0,-100.0,-74.0
30235,-100.0,-100.0,-100.0,-74.0
30283,-100.0,-100.0,-100.0,-74.0
30306,-100.0,-100.0,-100.0,-74.0
30307,-100.0,-100.0,-100.0,-74.0
30325,-100.0,-100.0,-100.0,-74.0
30342,-100.0,-100.0,-100.0,-74.0
30361,-100.0,-100.0,-100.0,-74.0
30380,-100.0,-100.0,-100.0,-74.0
30498,-100.0,-100.0,-100.0,-74.0
30513,-100.0,-100.0,-100.0,-74.0
30556,-100.0,-100.0,-100.0,-74.0
30567,-100.0,-100.0,-100.0,-74.0
30679,-100.0,-100.0,-100.0,-74.0
30699,-100.0,-100.0,-100.0,-74.0
30748,-100.0,-100.0,-100.0,-74.0
30770,-100.0,-100.0,-100.0,-74.0
30843,-100.0,-100.0,-100.0,-74.0
30872,-100.0,-100.0,-100.0,-74.0
30925,-100.0,-100.0,-100.0,-74.0
30933,-100.0,-100.0,-100.0,-74.0
31031,-100.0,-100.0,-100.0,-74.0
31047,-100.0,-100.0,-100.0,-74.0
31064,-100.0,-100.0,-100.0,-74.0
31087,-100.0,-100.0,-100.0,-74.0
31094,-100.0,-100.0,-100.0,-74.0
31111,-100.0,-100.0,-100.0,-74.0
31113,-100.0,-100.0,-100.0,-74.0
31116,-100.0,-100.0,-100.0,-74.0
31124,-100.0,-100.0,-100.0,-74.0
31136,-100.0,-100.0,-100.0,-74.0
31140,-100.0,-100.0,-100.0,-74.0
31161,-100.0,-100.0,-100.0,-74.0
31165,-100.0,-100.0,-100.0,-74.0
31186,-100.0,-100.0,-100.0,-74.0
31193,-100.0,-100.0,-100.0,-74.0
31211,-100.0,-100.0,-100.0,-74.0
31236,-100.0,-100.0,-100.0,-74.0
31265,-100.0,-100.0,-100.0,-74.0
31310,-100.0,-100.0,-100.0,-74.0
31313,-100.0,-100.0,-100.0,-74.0
31329,-100.0,-100.0,-100.0,-74.0
31363,-100.0,-100.0,-100.0,-74.0
31368,-100.0,-100.0,-100.0,-74.0
31387,-100.0,-100.0,-100.0,-74.0
31395,-100.0,-100.0,-100.0,-74.0
31412,-100.0,-100.0,-100.0,-74.0
31419,-100.0,-100.0,-100.0,-74.0
31436,-100.0,-100.0,-100.0,-74.0
31444,-100.0,-100.0,-100.0,-74.0
