,A3QFK8SWWMHIW,A3BPENSX5EVJ2,A371SNJNNUY9Z,AN26GE0GN8DP0
44246,-100.0,-100.0,-100.0,-36.0
44262,-100.0,-100.0,-100.0,-35.0
44279,-100.0,-100.0,-100.0,-34.0
44296,-100.0,-100.0,-100.0,-33.0
44312,-100.0,-100.0,-100.0,-32.0
44330,-100.0,-100.0,-100.0,-31.0
44346,-100.0,-100.0,-100.0,-30.0
44363,-100.0,-100.0,-100.0,-29.0
44379,-100.0,-100.0,-100.0,-28.0
44396,-100.0,-100.0,-100.0,-27.0
44413,-100.0,-100.0,-100.0,-26.0
44430,-100.0,-100.0,-100.0,-25.0
44450,-100.0,-100.0,-100.0,-24.0
44479,-100.0,-100.0,-100.0,-22.0
44496,-100.0,-100.0,-100.0,-21.0
44513,-100.0,-100.0,-100.0,-19.0
44530,-100.0,-100.0,-100.0,-18.0
44546,-100.0,-100.0,-100.0,-17.0
44563,-100.0,-100.0,-100.0,-16.0
44580,-100.0,-100.0,-100.0,-15.0
44596,-100.0,-100.0,-100.0,-14.0
44613,-100.0,-100.0,-100.0,-13.0
44630,-100.0,-100.0,-100.0,-12.0
44647,-100.0,-100.0,-100.0,-10.0
44663,-100.0,-100.0,-100.0,-9.0
44680,-100.0,-100.0,-100.0,-8.0
44697,-100.0,-100.0,-100.0,-7.0
44713,-100.0,-100.0,-100.0,-6.0
44730,-100.0,-100.0,-100.0,-5.0
44747,-100.0,-100.0,-100.0,-4.0
44759,-100.0,-100.0,-100.0,-3.5
44763,-100.0,-100.0,-100.0,-3.0
44778,-100.0,-100.0,-100.0,-2.0
44780,-100.0,-100.0,-100.0,-1.0
44797,-100.0,-100.0,-100.0,0.0
44812,-100.0,-100.0,-100.0,0.5
44815,-100.0,-100.0,-100.0,1.0
44830,-100.0,-100.0,-100.0,2.0
44847,-100.0,-100.0,-100.0,3.0
44864,-100.0,-100.0,-100.0,4.0
44871,-100.0,-100.0,-100.0,4.5
44880,-100.0,-100.0,-100.0,5.0
44889,-100.0,-100.0,-100.0,5.5
44897,-100.0,-100.0,-100.0,6.0
44906,-100.0,-100.0,-100.0,6.5
44914,-100.0,-100.0,-100.0,7.0
44931,-100.0,-100.0,-100.0,8.0
44942,-100.0,-100.0,-100.0,9.0
44948,-100.0,-100.0,-100.0,10.0
44959,-100.0,-100.0,-100.0,10.5
44964,-100.0,-100.0,-100.0,11.0
44976,-100.0,-100.0,-100.0,11.5
44981,-100.0,-100.0,-100.0,12.0
44994,-100.0,-100.0,-100.0,12.5
44997,-100.0,-100.0,-100.0,13.0
45014,-100.0,-100.0,-100.0,14.0
45029,-100.0,-100.0,-100.0,14.5
45031,-100.0,-100.0,-100.0,15.0
45046,-100.0,-100.0,-100.0,15.5
45047,-100.0,-100.0,-100.0,16.0
45064,-100.0,-100.0,-100.0,17.0
45071,-100.0,-100.0,-100.0,18.0
45081,-100.0,-100.0,-100.0,19.0
45089,-100.0,-100.0,-100.0,19.5
45098,-100.0,-100.0,-100.0,20.0
45106,-100.0,-100.0,-100.0,20.5
45114,-100.0,-100.0,-100.0,21.0
45131,-100.0,-100.0,-100.0,22.0
45140,-100.0,-100.0,-100.0,22.5
45148,-100.0,-100.0,-100.0,23.0
45158,-100.0,-100.0,-100.0,23.5
45164,-100.0,-100.0,-100.0,24.0
45176,-100.0,-100.0,-100.0,24.5
45181,-100.0,-100.0,-100.0,25.0
45192,-100.0,-100.0,-100.0,25.5
45198,-100.0,-100.0,-100.0,26.0
45210,-100.0,-100.0,-100.0,26.5
45215,-100.0,-100.0,-100.0,27.0
45228,-100.0,-100.0,-100.0,28.0
45231,-100.0,-100.0,-100.0,29.0
45245,-100.0,-100.0,-100.0,29.5
45248,-100.0,-100.0,-100.0,30.0
45263,-100.0,-100.0,-100.0,30.5
45265,-100.0,-100.0,-100.0,31.0
45281,-100.0,-100.0,-100.0,32.0
45298,-100.0,-100.0,-100.0,33.0
45304,-100.0,-100.0,-100.0,33.5
45316,-100.0,-100.0,-100.0,34.0
45323,-100.0,-100.0,-100.0,34.5
45331,-100.0,-100.0,-100.0,35.0
45340,-100.0,-100.0,-100.0,35.5
45348,-100.0,-100.0,-100.0,36.0
45358,-100.0,-100.0,-100.0,36.5
45365,-100.0,-100.0,-100.0,37.0
45374,-100.0,-100.0,-100.0,38.0
45382,-100.0,-100.0,-100.0,39.0
45392,-100.0,-100.0,-100.0,39.5
45398,-100.0,-100.0,-100.0,40.0
45410,-100.0,-100.0,-100.0,40.5
45415,-100.0,-100.0,-100.0,41.0
45428,-100.0,-100.0,-100.0,41.5
