,A2RJBMEEVBZ8E,A1NTYZ6IERUPC
59251,-100.0,-100.0
59268,-100.0,-100.0
59284,-100.0,-100.0
59302,-100.0,-100.0
59320,-100.0,-100.0
59338,-100.0,-100.0
59356,-100.0,-100.0
59373,-100.0,-100.0
59390,-100.0,-100.0
59408,-100.0,-100.0
59425,-100.0,-100.0
59444,-100.0,-100.0
59466,-100.0,-100.0
59484,-100.0,-100.0
59502,-100.0,-100.0
59519,-100.0,-100.0
59537,-100.0,-100.0
59555,-100.0,-100.0
59571,-100.0,-100.0
59589,-100.0,-100.0
59607,-100.0,-100.0
59624,-100.0,-100.0
59642,-100.0,-100.0
59661,-100.0,-100.0
59676,-100.0,-100.0
59684,-100.0,-100.0
59701,-100.0,-100.0
59719,-100.0,-100.0
59737,-100.0,-100.0
59753,-100.0,-100.0
59771,-100.0,-100.0
59788,-100.0,-100.0
59806,-100.0,-100.0
59824,-100.0,-100.0
59842,-100.0,-100.0
59859,-100.0,-100.0
59876,-100.0,-100.0
59883,-100.0,-100.0
59903,-100.0,-100.0
59921,-100.0,-100.0
59935,-100.0,-100.0
59953,-100.0,-100.0
59970,-100.0,-100.0
59988,-100.0,-100.0
60005,-100.0,-100.0
60024,-100.0,-100.0
60040,-100.0,-100.0
69070,-100.0,-100.0
69088,-100.0,-100.0
69122,-100.0,-100.0
69139,-100.0,-100.0
69157,-100.0,-100.0
69176,-100.0,-100.0
69192,-100.0,-100.0
69199,-100.0,-100.0
69217,-100.0,-100.0
69234,-100.0,-100.0
69252,-100.0,-100.0
69268,-100.0,-100.0
69286,-100.0,-100.0
69304,-100.0,-100.0
69322,-100.0,-100.0
69341,-100.0,-100.0
69357,-100.0,-100.0
69373,-100.0,-100.0
69391,-100.0,-100.0
69398,-100.0,-100.0
69417,-100.0,-100.0
69450,-100.0,-100.0
69469,-100.0,-100.0
69486,-100.0,-100.0
69504,-100.0,-100.0
69520,-100.0,-100.0
69538,-100.0,-100.0
69555,-100.0,-100.0
69591,-100.0,-100.0
69608,-100.0,-100.0
69616,-100.0,-100.0
69632,-100.0,-100.0
69650,-100.0,-100.0
69668,-100.0,-100.0
69685,-100.0,-100.0
69703,-100.0,-100.0
