,AS7D4MNIH56ND,AZSSG2REHDX18,AYYSG3O9FNU15,AU2980AA60A2C,AJE5OG666CBAC,ACM1CEGHXTKZP
46760,-100.0,-100.0,,-44.0,-100.0,-100.0
46857,-100.0,-100.0,,-44.0,-100.0,-100.0
46875,-100.0,-100.0,,-44.0,-100.0,-100.0
46877,-100.0,-100.0,,-44.0,-100.0,-100.0
46890,-100.0,-100.0,,-44.5,-100.0,-100.0
46894,-100.0,-100.0,,-45.0,-100.0,-100.0
46907,-100.0,-100.0,,-45.666666666666664,-100.0,-100.0
46925,-100.0,-100.0,,-46.333333333333336,-100.0,-100.0
46927,-100.0,-100.0,,-47.0,-100.0,-100.0
46940,-100.0,-100.0,,-47.5,-100.0,-100.0
46944,-100.0,-100.0,,-48.0,-100.0,-100.0
46961,-100.0,-100.0,,-49.0,-100.0,-100.0
47127,-100.0,-100.0,,-49.0,-100.0,-100.0
47147,-100.0,-100.0,,-50.0,-100.0,-100.0
47177,-100.0,-100.0,,-51.0,-100.0,-100.0
47244,-100.0,-100.0,,-51.0,-100.0,-100.0
47264,-100.0,-100.0,,-52.0,-100.0,-100.0
47296,-100.0,-100.0,,-53.0,-100.0,-100.0
47328,-100.0,-100.0,,-56.0,-100.0,-100.0
47429,-100.0,-100.0,,-56.0,-100.0,-100.0
47446,-100.0,-100.0,,-57.0,-100.0,-100.0
47463,-100.0,-100.0,,-58.0,-100.0,-100.0
47480,-100.0,-100.0,,-59.0,-100.0,-100.0
47496,-100.0,-100.0,,-60.0,-100.0,-100.0
47595,-100.0,-100.0,,-60.0,-100.0,-100.0
47616,-100.0,-100.0,,-61.0,-100.0,-100.0
47645,-100.0,-100.0,,-63.0,-100.0,-100.0
47747,-100.0,-100.0,,-63.0,-100.0,-100.0
47763,-100.0,-100.0,,-64.0,-100.0,-100.0
47797,-100.0,-100.0,,-66.0,-100.0,-100.0
47814,-100.0,-100.0,,-67.0,-100.0,-100.0
47914,-100.0,-100.0,,-67.0,-100.0,-100.0
47931,-100.0,-100.0,,-68.0,-100.0,-100.0
47964,-100.0,-100.0,,-70.0,-100.0,-100.0
47981,-100.0,-100.0,,-71.0,-100.0,-100.0
48566,-100.0,-100.0,,-71.0,-100.0,-100.0
48599,-100.0,-100.0,,-73.0,-100.0,-100.0
49872,-100.0,-100.0,,-73.0,-100.0,-100.0
49888,-100.0,-100.0,,-72.0,-100.0,-100.0
49938,-100.0,-100.0,,-70.0,-100.0,-100.0
50004,-100.0,-100.0,,-70.0,-100.0,-100.0
50021,-100.0,-100.0,,-69.0,-100.0,-100.0
50054,-100.0,-100.0,,-68.0,-100.0,-100.0
50072,-100.0,-100.0,,-67.0,-100.0,-100.0
50089,-100.0,-100.0,,-66.0,-100.0,-100.0
50106,-100.0,-100.0,,-65.0,-100.0,-100.0
50122,-100.0,-100.0,,-64.0,-100.0,-100.0
50188,-100.0,-100.0,,-64.0,-100.0,-100.0
50206,-100.0,-100.0,,-63.0,-100.0,-100.0
50222,-100.0,-100.0,,-62.0,-100.0,-100.0
50256,-100.0,-100.0,,-60.0,-100.0,-100.0
50274,-100.0,-100.0,,-59.0,-100.0,-100.0
50357,-100.0,-100.0,,-59.0,-100.0,-100.0
50372,-100.0,-100.0,,-58.0,-100.0,-100.0
50390,-100.0,-100.0,,-57.0,-100.0,-100.0
50407,-100.0,-100.0,,-56.0,-100.0,-100.0
50457,-100.0,-100.0,,-54.0,-100.0,-100.0
58203,-100.0,-100.0,,-54.0,-100.0,-100.0
58220,-100.0,-100.0,,-53.0,-100.0,-100.0
58269,-100.0,-100.0,,-51.0,-100.0,-100.0
58286,-100.0,-100.0,,-50.0,-100.0,-100.0
58303,-100.0,-100.0,,-49.0,-100.0,-100.0
58438,-100.0,-100.0,,-49.0,-100.0,-100.0
58453,-100.0,-100.0,,-48.0,-100.0,-100.0
58493,-100.0,-100.0,,-48.0,-100.0,-100.0
58508,-100.0,-100.0,,-48.0,-100.0,-100.0
58510,-100.0,-100.0,,-48.0,-100.0,-100.0
58522,-100.0,-100.0,,-48.0,-100.0,-100.0
58525,-100.0,-100.0,,-48.0,-100.0,-100.0
58537,-100.0,-100.0,,-48.0,-100.0,-100.0
58539,-100.0,-100.0,,-48.0,-100.0,-100.0
58553,-100.0,-100.0,,-48.0,-100.0,-100.0
58589,-100.0,-100.0,,-48.0,-100.0,-100.0
58603,-100.0,-100.0,,-47.0,-100.0,-100.0
58637,-100.0,-100.0,,-45.0,-100.0,-100.0
58654,-100.0,-100.0,,-44.0,-100.0,-100.0
58671,-100.0,-100.0,,-43.0,-100.0,-100.0
58787,-100.0,-100.0,,-43.0,-100.0,-100.0
58804,-100.0,-100.0,,-42.0,-100.0,-100.0
58821,-100.0,-100.0,,-41.0,-100.0,-100.0
58854,-100.0,-100.0,,-39.0,-100.0,-100.0
59144,-100.0,-100.0,,-39.0,-100.0,-100.0
59159,-100.0,-100.0,,-39.0,-100.0,-100.0
59162,-100.0,-100.0,,-39.0,-100.0,-100.0
59174,-100.0,-100.0,,-39.0,-100.0,-100.0
59177,-100.0,-100.0,,-39.0,-100.0,-100.0
59189,-100.0,-100.0,,-39.0,-100.0,-100.0
59192,-100.0,-100.0,,-39.0,-100.0,-100.0
59204,-100.0,-100.0,,-39.0,-100.0,-100.0
59206,-100.0,-100.0,,-39.0,-100.0,-100.0
59219,-100.0,-100.0,,-39.0,-100.0,-100.0
59260,-100.0,-100.0,,-39.0,-100.0,-100.0
59261,-100.0,-100.0,-88.0,-39.0,-100.0,-100.0
59302,-100.0,-100.0,-87.0,-39.0,-100.0,-100.0
59343,-100.0,-100.0,-84.0,-39.0,-100.0,-100.0
59384,-100.0,-100.0,-82.0,-39.0,-100.0,-100.0
59424,-100.0,-100.0,-80.0,-39.0,-100.0,-100.0
59425,-100.0,-100.0,,-39.0,-100.0,-100.0
60605,-100.0,-100.0,,-39.0,-100.0,-100.0
60606,-100.0,-100.0,-82.0,-39.0,-100.0,-100.0
60648,-100.0,-100.0,-83.0,-39.0,-100.0,-100.0
60688,-100.0,-100.0,-85.0,-39.0,-100.0,-100.0
60728,-100.0,-100.0,-87.0,-39.0,-100.0,-100.0
61377,-100.0,-100.0,-88.0,-39.0,-100.0,-100.0
61418,-100.0,-100.0,-89.0,-39.0,-100.0,-100.0
61459,-100.0,-100.0,-91.0,-39.0,-100.0,-100.0
61500,-100.0,-100.0,-94.0,-39.0,-100.0,-100.0
61541,-100.0,-100.0,-96.0,-39.0,-100.0,-100.0
61665,-100.0,-100.0,-99.0,-39.0,-100.0,-100.0
61705,-100.0,-100.0,-100.0,-39.0,-100.0,-100.0
65881,-100.0,-100.0,-100.0,-39.0,-100.0,-100.0
65897,-100.0,-100.0,-100.0,-40.0,-100.0,-100.0
65948,-100.0,-100.0,-100.0,-41.0,-100.0,-100.0
65965,-100.0,-100.0,-100.0,-42.0,-100.0,-100.0
