,A1GFGZJPLCHHF,A3ST8XFT4X93K
71389,-100.0,-100.0
71390,-100.0,-100.0
71408,-100.0,-100.0
71426,-100.0,-100.0
71442,-100.0,-100.0
71730,-100.0,-100.0
71753,-100.0,-100.0
71779,-100.0,-100.0
71798,-100.0,-100.0
71818,-100.0,-100.0
71838,-100.0,-100.0
71857,-100.0,-100.0
71865,-100.0,-100.0
71884,-100.0,-100.0
71904,-100.0,-100.0
71925,-100.0,-100.0
71946,-100.0,-100.0
71967,-100.0,-100.0
71986,-100.0,-100.0
71988,-100.0,-100.0
72006,-100.0,-100.0
72007,-100.0,-100.0
72025,-100.0,-100.0
72041,-100.0,-100.0
72043,-100.0,-100.0
72059,-100.0,-100.0
72061,-100.0,-100.0
72077,-100.0,-100.0
72085,-100.0,-100.0
72092,-100.0,-100.0
72093,-100.0,-100.0
72108,-100.0,-100.0
72126,-100.0,-100.0
72128,-100.0,-100.0
72147,-100.0,-100.0
72148,-100.0,-100.0
72164,-100.0,-100.0
72168,-100.0,-100.0
72183,-100.0,-100.0
72186,-100.0,-100.0
72203,-100.0,-100.0
72205,-100.0,-100.0
72223,-100.0,-100.0
72228,-100.0,-100.0
72240,-100.0,-100.0
72248,-100.0,-100.0
72259,-100.0,-100.0
72273,-100.0,-100.0
72275,-100.0,-100.0
72282,-100.0,-100.0
72293,-100.0,-100.0
72303,-100.0,-100.0
72310,-100.0,-100.0
72329,-100.0,-100.0
72337,-100.0,-100.0
72345,-100.0,-100.0
72356,-100.0,-100.0
72364,-100.0,-100.0
72388,-100.0,-100.0
72398,-100.0,-100.0
72422,-100.0,-100.0
72446,-100.0,-100.0
72447,-100.0,-100.0
72467,-100.0,-100.0
72475,-100.0,-100.0
72482,-100.0,-100.0
72493,-100.0,-100.0
72500,-100.0,-100.0
72508,-100.0,-100.0
72510,-100.0,-100.0
72523,-100.0,-100.0
72528,-100.0,-100.0
72543,-100.0,-100.0
72559,-100.0,-100.0
72562,-100.0,-100.0
72576,-100.0,-100.0
72584,-100.0,-100.0
72594,-100.0,-100.0
72597,-100.0,-100.0
72612,-100.0,-100.0
72615,-100.0,-100.0
72623,-100.0,-100.0
72630,-100.0,-100.0
72639,-100.0,-100.0
72648,-100.0,-100.0
72657,-100.0,-100.0
72666,-100.0,-100.0
72674,-100.0,-100.0
72681,-100.0,-100.0
72691,-100.0,-100.0
72699,-100.0,-100.0
72710,-100.0,-100.0
72713,-100.0,-100.0
72723,-100.0,-100.0
72727,-100.0,-100.0
72743,-100.0,-100.0
72744,-100.0,-100.0
72758,-100.0,-100.0
72761,-100.0,-100.0
72776,-100.0,-100.0
72795,-100.0,-100.0
72797,-100.0,-100.0
72814,-100.0,-100.0
72828,-100.0,-100.0
72832,-100.0,-100.0
72838,-100.0,-100.0
72850,-100.0,-100.0
72855,-100.0,-100.0
72863,-100.0,-100.0
72874,-100.0,-100.0
72890,-100.0,-100.0
72891,-100.0,-100.0
72900,-100.0,-100.0
72909,-100.0,-100.0
72915,-100.0,-100.0
72925,-100.0,-100.0
72930,-100.0,-100.0
72940,-100.0,-100.0
72943,-100.0,-100.0
72963,-100.0,-100.0
72975,-100.0,-100.0
72979,-100.0,-100.0
72995,-100.0,-100.0
72998,-100.0,-100.0
73010,-100.0,-100.0
73017,-100.0,-100.0
73030,-100.0,-100.0
73035,-100.0,-100.0
73050,-100.0,-100.0
73055,-100.0,-100.0
73065,-100.0,-100.0
73073,-100.0,-100.0
73085,-100.0,-100.0
73091,-100.0,-100.0
73098,-100.0,-100.0
73107,-100.0,-100.0
73115,-100.0,-100.0
73126,-100.0,-100.0
73136,-100.0,-100.0
73140,-100.0,-100.0
73143,-100.0,-100.0
73161,-100.0,-100.0
73162,-100.0,-100.0
73176,-100.0,-100.0
73179,-100.0,-100.0
73192,-100.0,-100.0
73194,-100.0,-100.0
73209,-100.0,-100.0
73213,-100.0,-100.0
73227,-100.0,-100.0
73230,-100.0,-100.0
73246,-100.0,-100.0
73248,-100.0,-100.0
73255,-100.0,-100.0
73263,-100.0,-100.0
73272,-100.0,-100.0
73279,-100.0,-100.0
73289,-100.0,-100.0
73300,-100.0,-100.0
73307,-100.0,-100.0
73314,-100.0,-100.0
73327,-100.0,-100.0
73337,-100.0,-100.0
73344,-100.0,-100.0
73349,-100.0,-100.0
73359,-100.0,-100.0
73366,-100.0,-100.0
73376,-100.0,-100.0
73392,-100.0,-100.0
73394,-100.0,-100.0
73412,-100.0,-100.0
73416,-100.0,-100.0
73426,-100.0,-100.0
73445,-100.0,-100.0
73448,-100.0,-100.0
73464,-100.0,-100.0
73479,-100.0,-100.0
73482,-100.0,-100.0
73496,-100.0,-100.0
73509,-100.0,-100.0
73514,-100.0,-100.0
73533,-100.0,-100.0
73552,-100.0,-100.0
73568,-100.0,-100.0
73578,-100.0,-100.0
