,nan_x,nan_y,ASPRULQHB8B1F,AQP4PHYDXRBPI
12266,-100.0,-100.0,-100.0,-100.0
12271,-100.0,-100.0,-100.0,-100.0
12272,-100.0,-100.0,-100.0,-100.0
12275,-100.0,-100.0,-100.0,-100.0
12288,-100.0,-100.0,-100.0,-100.0
12295,-100.0,-100.0,-100.0,-100.0
12298,-100.0,-100.0,-100.0,-100.0
12303,-100.0,-100.0,-100.0,-100.0
12305,-100.0,-100.0,-100.0,-100.0
12318,-100.0,-100.0,-100.0,-100.0
12332,-100.0,-100.0,-100.0,-100.0
12336,-100.0,-100.0,-100.0,-100.0
12343,-100.0,-100.0,-100.0,-100.0
12356,-100.0,-100.0,-100.0,-100.0
12362,-100.0,-100.0,-100.0,-100.0
12369,-100.0,-100.0,-100.0,-100.0
12378,-100.0,-100.0,-100.0,-100.0
12383,-100.0,-100.0,-100.0,-100.0
12391,-100.0,-100.0,-100.0,-100.0
12396,-100.0,-100.0,-100.0,-100.0
12402,-100.0,-100.0,-100.0,-100.0
12413,-100.0,-100.0,-100.0,-100.0
12444,-100.0,-100.0,-100.0,-100.0
12454,-100.0,-100.0,-100.0,-100.0
12460,-100.0,-100.0,-100.0,-100.0
12488,-100.0,-100.0,-100.0,-100.0
12490,-100.0,-100.0,-100.0,-100.0
12494,-100.0,-100.0,-100.0,-100.0
12502,-100.0,-100.0,-100.0,-100.0
12512,-100.0,-100.0,-100.0,-100.0
12516,-100.0,-100.0,-100.0,-100.0
12518,-100.0,-100.0,-100.0,-100.0
12531,-100.0,-100.0,-100.0,-100.0
12533,-100.0,-100.0,-100.0,-100.0
12537,-100.0,-100.0,-100.0,-100.0
12542,-100.0,-100.0,-100.0,-100.0
12544,-100.0,-100.0,-100.0,-100.0
12551,-100.0,-100.0,-100.0,-100.0
12559,-100.0,-100.0,-100.0,-100.0
12573,-100.0,-100.0,-100.0,-100.0
12576,-100.0,-100.0,-100.0,-100.0
12587,-100.0,-100.0,-100.0,-100.0
12598,-100.0,-100.0,-100.0,-100.0
12612,-100.0,-100.0,-100.0,-100.0
12613,-100.0,-100.0,-100.0,-100.0
12618,-100.0,-100.0,-100.0,-100.0
12629,-100.0,-100.0,-100.0,-100.0
12633,-100.0,-100.0,-100.0,-100.0
