,AY5QB85BMBVU8,A3P9TMATWBA1Q,A8DMLATJZOF4Q,A8WWSKUYQ4X5N
13785,-100.0,-100.0,-100.0,-100.0
13792,-100.0,-100.0,-100.0,-100.0
13796,-100.0,-100.0,-100.0,-100.0
13808,-100.0,-100.0,-100.0,-100.0
13816,-100.0,-100.0,-100.0,-100.0
13822,-100.0,-100.0,-100.0,-100.0
13824,-100.0,-100.0,-100.0,-100.0
13828,-100.0,-100.0,-100.0,-100.0
13830,-100.0,-100.0,-100.0,-100.0
13831,-100.0,-100.0,-100.0,-100.0
13834,-100.0,-100.0,-100.0,-100.0
13845,-100.0,-100.0,-100.0,-100.0
13846,-100.0,-100.0,-100.0,-100.0
13851,-100.0,-100.0,-100.0,-100.0
13866,-100.0,-100.0,-100.0,-100.0
13886,-100.0,-100.0,-100.0,-100.0
14089,-100.0,-100.0,-100.0,-100.0
14134,-100.0,-100.0,-100.0,-100.0
14237,-100.0,-100.0,-100.0,-100.0
14273,-100.0,-100.0,-100.0,-100.0
14317,-100.0,-100.0,-100.0,-100.0
14342,-100.0,-100.0,-100.0,-100.0
14365,-100.0,-100.0,-100.0,-100.0
14409,-100.0,-100.0,-100.0,-100.0
14439,-100.0,-100.0,-100.0,-100.0
14484,-100.0,-100.0,-100.0,-100.0
14529,-100.0,-100.0,-100.0,-100.0
14621,-100.0,-100.0,-100.0,-100.0
14639,-100.0,-100.0,-100.0,-100.0
14682,-100.0,-100.0,-100.0,-100.0
14738,-100.0,-100.0,-100.0,-100.0
14763,-100.0,-100.0,-100.0,-100.0
14870,-100.0,-100.0,-100.0,-100.0
14889,-100.0,-100.0,-100.0,-100.0
14895,-100.0,-100.0,-100.0,-100.0
14962,-100.0,-100.0,-100.0,-100.0
15051,-100.0,-100.0,-100.0,-100.0
15076,-100.0,-100.0,-100.0,-100.0
15133,-100.0,-100.0,-100.0,-100.0
15175,-100.0,-100.0,-100.0,-100.0
15195,-100.0,-100.0,-100.0,-100.0
15262,-100.0,-100.0,-100.0,-100.0
15292,-100.0,-100.0,-100.0,-100.0
15343,-100.0,-100.0,-100.0,-100.0
15395,-100.0,-100.0,-100.0,-100.0
15430,-100.0,-100.0,-100.0,-100.0
15456,-100.0,-100.0,-100.0,-100.0
15510,-100.0,-100.0,-100.0,-100.0
15525,-100.0,-100.0,-100.0,-100.0
15594,-100.0,-100.0,-100.0,-100.0
15605,-100.0,-100.0,-100.0,-100.0
15637,-100.0,-100.0,-100.0,-100.0
15722,-100.0,-100.0,-100.0,-100.0
