,A2RG35OL29USI,A2YP8M9VHFXZV,A1L7EVNM2HF85,A2YN6Z2DAW88X,A2Q3SM0KEI497,A1R09GS9W47R5
59845,,-100.0,,-83.0,-100.0,
59859,,-100.0,,-83.0,-100.0,
59860,,-100.0,,-83.0,-100.0,
59872,,-100.0,,-82.0,-100.0,
59878,,-100.0,,-82.0,-100.0,
59881,,-100.0,,-82.0,-100.0,
59890,,-100.0,,-81.0,-100.0,
59898,,-100.0,,-81.0,-100.0,
59899,,-100.0,,-80.5,-100.0,
59908,,-100.0,,-80.0,-100.0,
59918,,-100.0,,-80.0,-100.0,
59920,,-100.0,,-79.66666666666667,-100.0,
59930,,-100.0,,-79.33333333333333,-100.0,
59932,,-100.0,,-79.0,-100.0,
59941,,-100.0,,-79.0,-100.0,
59955,,-100.0,,-79.0,-100.0,
59956,,-100.0,,-78.66666666666667,-100.0,
59962,,-100.0,,-78.33333333333333,-100.0,
59965,,-100.0,,-78.0,-100.0,
59973,,-100.0,,-78.0,-100.0,
59983,,-100.0,,-77.5,-100.0,
59985,,-100.0,,-77.0,-100.0,
60004,,-100.0,,-77.0,-100.0,
60016,,-100.0,,-77.0,-100.0,
60024,,-100.0,,-76.0,-100.0,
60025,,-100.0,,-76.0,-100.0,
60036,,-100.0,,-76.0,-100.0,
60037,,-100.0,,-76.0,-100.0,
60055,,-100.0,,-75.0,-100.0,
60057,,-100.0,,-75.0,-100.0,
60062,,-100.0,,-75.0,-100.0,
60072,,-100.0,,-74.0,-100.0,
60077,,-100.0,,-74.0,-100.0,
60079,,-100.0,,-74.0,-100.0,
60084,,-100.0,,-73.5,-100.0,
60087,,-100.0,,-73.0,-100.0,
60098,,-100.0,,-73.0,-100.0,
60099,,-100.0,,-72.66666666666667,-100.0,
60106,,-100.0,,-72.33333333333333,-100.0,
60117,,-100.0,,-72.0,-100.0,
60119,,-100.0,,-72.0,-100.0,
60134,,-100.0,,-72.0,-100.0,
60137,,-100.0,,-72.0,-100.0,
60140,,-100.0,,-71.75,-100.0,
60148,,-100.0,,-71.5,-100.0,
60160,,-100.0,,-71.25,-100.0,
60165,,-100.0,,-71.0,-100.0,
60174,,-100.0,,-71.0,-100.0,
60182,,-100.0,,-70.5,-100.0,
60190,,-100.0,,-70.0,-100.0,
60202,,-100.0,,-69.0,-100.0,
60203,,-100.0,,-69.0,-100.0,
60211,,-100.0,,-69.0,-100.0,
60223,,-100.0,,-68.66666666666667,-100.0,
60226,,-100.0,,-68.33333333333333,-100.0,
