,A12FTSX85NQ89
85707,-100.0
85715,-100.0
85729,-100.0
85745,-100.0
85770,-100.0
85775,-100.0
85780,-100.0
85781,-100.0
85798,-100.0
85808,-100.0
85816,-100.0
85819,-100.0
85832,-100.0
85855,-100.0
85861,-100.0
85866,-100.0
85890,-100.0
85904,-100.0
85908,-100.0
85918,-100.0
85937,-100.0
85952,-100.0
85985,-100.0
85989,-100.0
86004,-100.0
86007,-100.0
86019,-100.0
86042,-100.0
86056,-100.0
86061,-100.0
86078,-100.0
86093,-100.0
86108,-100.0
86127,-100.0
86139,-100.0
86159,-100.0
86171,-100.0
86183,-100.0
86188,-100.0
86206,-100.0
86258,-100.0
86260,-100.0
86275,-100.0
86290,-100.0
86304,-100.0
86314,-100.0
86318,-100.0
86329,-100.0
86342,-100.0
86377,-100.0
86379,-100.0
86391,-100.0
86420,-100.0
86424,-100.0
86438,-100.0
86473,-100.0
86578,-100.0
86658,-100.0
86659,-100.0
87858,-100.0
87859,-100.0
87878,-100.0
87897,-100.0
87908,-100.0
87928,-100.0
87949,-100.0
87958,-100.0
87982,-100.0
87996,-100.0
88948,-100.0
88965,-100.0
88987,-100.0
89001,-100.0
89026,-100.0
89041,-100.0
89067,-100.0
89078,-100.0
89402,-100.0
89417,-100.0
89440,-100.0
89454,-100.0
89487,-100.0
89501,-100.0
89527,-100.0
89534,-100.0
92758,-100.0
92774,-100.0
92797,-100.0
92806,-100.0
92825,-100.0
92837,-100.0
92857,-100.0
92870,-100.0
92887,-100.0
92908,-100.0
92920,-100.0
92937,-100.0
92956,-100.0
92970,-100.0
92987,-100.0
93008,-100.0
93020,-100.0
93038,-100.0
93056,-100.0
93069,-100.0
93096,-100.0
93110,-100.0
93129,-100.0
93146,-100.0
93159,-100.0
93170,-100.0
93186,-100.0
93205,-100.0
93220,-100.0
93240,-100.0
93257,-100.0
93286,-100.0
93306,-100.0
93331,-100.0
93349,-100.0
93368,-100.0
93387,-100.0
93410,-100.0
93419,-100.0
93475,-100.0
93488,-100.0
93505,-100.0
93552,-100.0
93560,-100.0
93579,-100.0
93588,-100.0
93605,-100.0
93626,-100.0
93708,-100.0
93759,-100.0
93769,-100.0
93791,-100.0
93796,-100.0
93820,-100.0
93827,-100.0
93899,-100.0
93919,-100.0
93933,-100.0
93945,-100.0
93967,-100.0
93977,-100.0
94027,-100.0
94036,-100.0
94055,-100.0
94074,-100.0
94097,-100.0
94114,-100.0
94130,-100.0
94159,-100.0
94165,-100.0
94198,-100.0
94210,-100.0
94211,-100.0
94231,-100.0
94247,-100.0
94257,-100.0
94277,-100.0
94286,-100.0
94309,-100.0
94319,-100.0
94339,-100.0
94357,-100.0
94379,-100.0
94398,-100.0
94415,-100.0
94431,-100.0
94448,-100.0
94461,-100.0
94479,-100.0
94506,-100.0
94527,-100.0
94537,-100.0
94552,-100.0
94570,-100.0
94584,-100.0
94606,-100.0
94620,-100.0
94654,-100.0
94663,-100.0
94676,-100.0
94689,-100.0
94730,-100.0
94757,-100.0
94769,-100.0
94779,-100.0
94811,-100.0
94826,-100.0
94836,-100.0
94899,-100.0
94919,-100.0
95207,-100.0
95225,-100.0
95241,-100.0
95257,-100.0
95274,-100.0
95291,-100.0
95307,-100.0
95441,-100.0
95458,-100.0
95474,-100.0
95487,-100.0
95490,-100.0
95507,-100.0
95508,-100.0
95524,-100.0
95541,-100.0
95557,-100.0
95567,-100.0
95626,-100.0
95641,-100.0
95650,-100.0
95664,-100.0
95670,-100.0
95687,-100.0
95704,-100.0
95719,-100.0
95756,-100.0
95762,-100.0
95767,-100.0
95779,-100.0
95791,-100.0
95794,-100.0
95814,-100.0
95822,-100.0
95825,-100.0
95839,-100.0
95853,-100.0
95869,-100.0
95891,-100.0
95896,-100.0
95906,-100.0
95917,-100.0
95918,-100.0
95926,-100.0
95936,-100.0
95954,-100.0
95964,-100.0
95966,-100.0
