,AMWN796XA8EMA,A2RG35OL29USI,A1CF1W8CP0DHB,A21LNC7SH15DN
72753,-100.0,-100.0,-100.0,-100.0
72885,-100.0,-100.0,-100.0,-100.0
72923,-100.0,-100.0,-100.0,-100.0
73000,-100.0,-100.0,-100.0,-100.0
73049,-100.0,-100.0,-100.0,-100.0
73090,-100.0,-100.0,-100.0,-100.0
73112,-100.0,-100.0,-100.0,-100.0
73158,-100.0,-100.0,-100.0,-100.0
73178,-100.0,-100.0,-100.0,-100.0
73201,-100.0,-100.0,-100.0,-100.0
73222,-100.0,-100.0,-100.0,-100.0
73243,-100.0,-100.0,-100.0,-100.0
73267,-100.0,-100.0,-100.0,-100.0
73285,-100.0,-100.0,-100.0,-100.0
73304,-100.0,-100.0,-100.0,-100.0
73323,-100.0,-100.0,-100.0,-100.0
73347,-100.0,-100.0,-100.0,-100.0
73369,-100.0,-100.0,-100.0,-100.0
73388,-100.0,-100.0,-100.0,-100.0
73408,-100.0,-100.0,-100.0,-100.0
73428,-100.0,-100.0,-100.0,-100.0
73448,-100.0,-100.0,-100.0,-100.0
73468,-100.0,-100.0,-100.0,-100.0
73499,-100.0,-100.0,-100.0,-100.0
73580,-100.0,-100.0,-100.0,-100.0
73607,-100.0,-100.0,-100.0,-100.0
73665,-100.0,-100.0,-100.0,-100.0
73694,-100.0,-100.0,-100.0,-100.0
73718,-100.0,-100.0,-100.0,-100.0
73773,-100.0,-100.0,-100.0,-100.0
73808,-100.0,-100.0,-100.0,-100.0
73832,-100.0,-100.0,-100.0,-100.0
73850,-100.0,-100.0,-100.0,-100.0
73868,-100.0,-100.0,-100.0,-100.0
73966,-100.0,-100.0,-100.0,-100.0
73986,-100.0,-100.0,-100.0,-100.0
74058,-100.0,-100.0,-100.0,-100.0
74122,-100.0,-100.0,-100.0,-100.0
74166,-100.0,-100.0,-100.0,-100.0
74184,-100.0,-100.0,-100.0,-100.0
74210,-100.0,-100.0,-100.0,-100.0
74235,-100.0,-100.0,-100.0,-100.0
74264,-100.0,-100.0,-100.0,-100.0
74365,-100.0,-100.0,-100.0,-100.0
74433,-100.0,-100.0,-100.0,-100.0
74534,-100.0,-100.0,-100.0,-100.0
74589,-100.0,-100.0,-100.0,-100.0
74616,-100.0,-100.0,-100.0,-100.0
74657,-100.0,-100.0,-100.0,-100.0
74668,-100.0,-100.0,-100.0,-100.0
74685,-100.0,-100.0,-100.0,-100.0
74696,-100.0,-100.0,-100.0,-100.0
74712,-100.0,-100.0,-100.0,-100.0
74718,-100.0,-100.0,-100.0,-100.0
74723,-100.0,-100.0,-100.0,-100.0
74736,-100.0,-100.0,-100.0,-100.0
74741,-100.0,-100.0,-100.0,-100.0
74747,-100.0,-100.0,-100.0,-100.0
74755,-100.0,-100.0,-100.0,-100.0
74759,-100.0,-100.0,-100.0,-100.0
74767,-100.0,-100.0,-100.0,-100.0
74771,-100.0,-100.0,-100.0,-100.0
74776,-100.0,-100.0,-100.0,-100.0
74789,-100.0,-100.0,-100.0,-100.0
74795,-100.0,-100.0,-100.0,-100.0
74799,-100.0,-100.0,-100.0,-100.0
74824,-100.0,-100.0,-100.0,-100.0
74828,-100.0,-100.0,-100.0,-100.0
74831,-100.0,-100.0,-100.0,-100.0
74835,-100.0,-100.0,-100.0,-100.0
74849,-100.0,-100.0,-100.0,-100.0
