,ACBG07QLGIDP0
668866,-100.0
669082,-100.0
669099,-100.0
669115,-100.0
669132,-100.0
669148,-100.0
669165,-100.0
669182,-100.0
669198,-100.0
669215,-100.0
669232,-100.0
669248,-100.0
669266,-100.0
669298,-100.0
669315,-100.0
669332,-100.0
669348,-100.0
669365,-100.0
669502,-100.0
669520,-100.0
669535,-100.0
669552,-100.0
669569,-100.0
669586,-100.0
669602,-100.0
669619,-100.0
669635,-100.0
669652,-100.0
669669,-100.0
669869,-100.0
669888,-100.0
669919,-100.0
669993,-100.0
670010,-100.0
670026,-100.0
670043,-100.0
670059,-100.0
670076,-100.0
670093,-100.0
670360,-100.0
670377,-100.0
670393,-100.0
670410,-100.0
670426,-100.0
670443,-100.0
670460,-100.0
670476,-100.0
670641,-100.0
670657,-100.0
670673,-100.0
670699,-100.0
670713,-100.0
670730,-100.0
670744,-100.0
670760,-100.0
670775,-100.0
670791,-100.0
670817,-100.0
674127,-100.0
674142,-100.0
674146,-100.0
674160,-100.0
674163,-100.0
674176,-100.0
674180,-100.0
674192,-100.0
674196,-100.0
674209,-100.0
674213,-100.0
674226,-100.0
674229,-100.0
674242,-100.0
674246,-100.0
674260,-100.0
674715,-100.0
674729,-100.0
674733,-100.0
674746,-100.0
674749,-100.0
674762,-100.0
674766,-100.0
674813,-100.0
674832,-100.0
674849,-100.0
674865,-100.0
674882,-100.0
674899,-100.0
674915,-100.0
674932,-100.0
674949,-100.0
675016,-100.0
675032,-100.0
675035,-100.0
675047,-100.0
675051,-100.0
675065,-100.0
675068,-100.0
675081,-100.0
675085,-100.0
675098,-100.0
675099,-100.0
675102,-100.0
675115,-100.0
675116,-100.0
675132,-100.0
675148,-100.0
675165,-100.0
675182,-100.0
675198,-100.0
675267,-100.0
675284,-100.0
675287,-100.0
675298,-100.0
675303,-100.0
675350,-100.0
678226,-100.0
678241,-100.0
678257,-100.0
678272,-100.0
678288,-100.0
678314,-100.0
678329,-100.0
678372,-100.0
678385,-100.0
678389,-100.0
678401,-100.0
678406,-100.0
678419,-100.0
678423,-100.0
678435,-100.0
678439,-100.0
678452,-100.0
678456,-100.0
678469,-100.0
678473,-100.0
678486,-100.0
678908,-100.0
678925,-100.0
678939,-100.0
678964,-100.0
678979,-100.0
679040,-100.0
679073,-100.0
679076,-100.0
679089,-100.0
679092,-100.0
679106,-100.0
679109,-100.0
679124,-100.0
679127,-100.0
679139,-100.0
679142,-100.0
679157,-100.0
679160,-100.0
679173,-100.0
679176,-100.0
679191,-100.0
681003,-100.0
681019,-100.0
681023,-100.0
681036,-100.0
681039,-100.0
681053,-100.0
681056,-100.0
681068,-100.0
681071,-100.0
681085,-100.0
681088,-100.0
681102,-100.0
681105,-100.0
681120,-100.0
681123,-100.0
681136,-100.0
681355,-100.0
681371,-100.0
681374,-100.0
681386,-100.0
681390,-100.0
681404,-100.0
681408,-100.0
681420,-100.0
681424,-100.0
681436,-100.0
681440,-100.0
681455,-100.0
681458,-100.0
681471,-100.0
681474,-100.0
681488,-100.0
681491,-100.0
681504,-100.0
681507,-100.0
681522,-100.0
681526,-100.0
681538,-100.0
681542,-100.0
681554,-100.0
681558,-100.0
681571,-100.0
681575,-100.0
681588,-100.0
