,AM2RT8BYNQFDR,A3TDR6MXS6UO5,A1CF1W8CP0DHB,A1CRR9EZ64R0P
40077,-31.0,-93.0,-67.0,
40099,-31.0,-93.0,-67.0,
40112,-31.0,-93.0,-66.0,
40138,-31.0,-93.0,-66.0,
40151,-31.0,-93.0,-65.0,
40179,-31.0,-93.0,-65.0,
40190,-31.0,-93.0,-64.0,
40215,-31.0,-93.0,-64.0,
40229,-31.0,-93.0,-63.0,
40252,-31.0,-93.0,-63.0,
40263,-31.0,-93.0,-62.0,
40287,-31.0,-93.0,-62.0,
40301,-31.0,-93.0,-61.0,
40310,-31.0,-93.0,-61.0,
40320,-31.0,-93.0,-60.0,
40344,-31.0,-93.0,-60.0,
40354,-31.0,-93.0,-59.0,
40379,-31.0,-93.0,-59.0,
40391,-31.0,-93.0,-58.0,
40398,-31.0,-93.0,-58.0,
40409,-31.0,-93.0,-57.0,
40430,-31.0,-93.0,-57.0,
40442,-31.0,-93.0,-56.0,
40469,-31.0,-93.0,-56.0,
40480,-31.0,-93.0,-55.0,
40501,-31.0,-93.0,-55.0,
40514,-31.0,-93.0,-54.0,
40539,-31.0,-93.0,-54.0,
40549,-31.0,-93.0,-53.0,
40575,-31.0,-93.0,-53.0,
40585,-31.0,-93.0,-52.0,
40591,-31.0,-93.0,-52.0,
40603,-31.0,-93.0,-51.0,
40628,-31.0,-93.0,-51.0,
40643,-31.0,-93.0,-50.0,
40665,-31.0,-93.0,-50.0,
40675,-31.0,-93.0,-48.0,
40701,-31.0,-93.0,-48.0,
40710,-31.0,-93.0,-47.0,
40736,-31.0,-93.0,-47.0,
40746,-31.0,-93.0,-46.0,
40774,-31.0,-93.0,-46.0,
40783,-31.0,-93.0,-45.0,
40806,-31.0,-93.0,-45.0,
40819,-31.0,-93.0,-44.0,
40843,-31.0,-93.0,-44.0,
40853,-31.0,-93.0,-43.0,
40862,-31.0,-93.0,-43.0,
40878,-31.0,-93.0,-42.0,
40904,-31.0,-93.0,-42.0,
40913,-31.0,-93.0,-41.0,
40937,-31.0,-93.0,-41.0,
40949,-31.0,-93.0,-40.0,
40973,-31.0,-93.0,-40.0,
40985,-31.0,-93.0,-39.0,
41007,-31.0,-93.0,-39.0,
41015,-31.0,-93.0,-38.0,
41042,-31.0,-93.0,-38.0,
41054,-31.0,-93.0,-37.0,
41063,-31.0,-93.0,-37.0,
41074,-31.0,-93.0,-36.0,
41081,-31.0,-93.0,-36.0,
41091,-31.0,-93.0,-35.0,
41119,-31.0,-93.0,-35.0,
41130,-31.0,-93.0,-34.0,
41154,-31.0,-93.0,-34.0,
41164,-31.0,-93.0,-33.0,
41191,-31.0,-93.0,-33.0,
41201,-31.0,-93.0,-32.0,
41225,-31.0,-93.0,-32.0,
41238,-31.0,-93.0,-31.0,
41259,-31.0,-93.0,-31.0,
41268,-31.0,-93.0,-30.0,
41297,-31.0,-93.0,-30.0,
41306,-31.0,-93.0,-29.0,
41332,-31.0,-93.0,-29.0,
41341,-31.0,-93.0,-28.0,
41368,-31.0,-93.0,-28.0,
41378,-31.0,-93.0,-27.0,
41404,-31.0,-93.0,-27.0,
41413,-31.0,-93.0,-26.0,
41438,-31.0,-93.0,-26.0,
41452,-31.0,-93.0,-25.0,
41477,-31.0,-93.0,-25.0,
41485,-31.0,-93.0,-24.0,
41511,-31.0,-93.0,-24.0,
41520,-31.0,-93.0,-23.0,
41546,-31.0,-93.0,-23.0,
41556,-31.0,-93.0,-22.0,
41581,-31.0,-93.0,-22.0,
41593,-31.0,-93.0,-20.0,
41617,-31.0,-93.0,-20.0,
41630,-31.0,-93.0,-19.0,
41655,-31.0,-93.0,-19.0,
41665,-31.0,-93.0,-18.0,
41687,-31.0,-93.0,-18.0,
41698,-31.0,-93.0,-17.0,
41723,-31.0,-93.0,-17.0,
41735,-31.0,-93.0,-16.0,
41758,-31.0,-93.0,-16.0,
41769,-31.0,-93.0,-15.0,
41794,-31.0,-93.0,-15.0,
41805,-31.0,-93.0,-14.0,
41830,-31.0,-93.0,-14.0,
41839,-31.0,-93.0,-13.0,
41863,-31.0,-93.0,-13.0,
41870,-31.0,-93.0,-12.0,
41894,-31.0,-93.0,-12.0,
41908,-31.0,-93.0,-11.0,
41936,-31.0,-93.0,-11.0,
41948,-31.0,-93.0,-10.0,
41971,-31.0,-93.0,-10.0,
41984,-31.0,-93.0,-9.0,
42006,-31.0,-93.0,-9.0,
42018,-31.0,-93.0,-8.0,
42043,-31.0,-93.0,-8.0,
42054,-31.0,-93.0,-7.0,
42062,-31.0,-93.0,-7.0,
42074,-31.0,-93.0,-6.0,
42102,-31.0,-93.0,-6.0,
42113,-31.0,-93.0,-5.0,
42140,-31.0,-93.0,-5.0,
42151,-31.0,-93.0,-4.0,
42176,-31.0,-93.0,-4.0,
42189,-31.0,-93.0,-3.0,
42198,-31.0,-93.0,-3.0,
42210,-31.0,-93.0,-2.0,
42238,-31.0,-93.0,-2.0,
42257,-31.0,-93.0,-1.0,
42282,-31.0,-93.0,-1.0,
42299,-31.0,-93.0,0.0,
42343,-31.0,-93.0,0.0,
42353,-31.0,-93.0,1.0,
42371,-31.0,-93.0,1.0,
42376,-31.0,-93.0,2.0,
42382,-31.0,-93.0,2.0,
42393,-31.0,-93.0,3.0,
42399,-31.0,-93.0,3.0,
42410,-31.0,-93.0,4.0,
42414,-31.0,-93.0,4.0,
42426,-31.0,-93.0,5.0,
