,AYYSG3O9FNU15,AOEGJLWFISOZQ,A4FNENGCDFSOG,AJE5OG666CBAC
244278,,-90.0,-100.0,
244284,,-90.0,-100.0,
244319,,-90.0,-100.0,
244346,,-90.0,-100.0,
244367,,-90.0,-100.0,
244377,,-90.0,-100.0,
244392,,-90.0,-100.0,
244398,,-90.0,-100.0,
244423,,-90.0,-100.0,
244434,,-90.0,-100.0,
244459,,-90.0,-100.0,
244469,,-90.0,-100.0,
244487,,-90.0,-100.0,
244496,,-90.0,-100.0,
244513,,-90.0,-100.0,
244514,,-90.0,-100.0,
248774,,-90.0,-100.0,
248775,,-90.0,-100.0,
248792,,-90.0,-100.0,
248799,,-90.0,-100.0,
248831,,-90.0,-100.0,
248840,,-90.0,-100.0,
248858,,-90.0,-100.0,
248865,,-90.0,-100.0,
248881,,-90.0,-100.0,
248887,,-90.0,-100.0,
248908,,-90.0,-100.0,
248912,,-90.0,-100.0,
248929,,-90.0,-100.0,
248934,,-90.0,-100.0,
248948,,-90.0,-100.0,
248962,,-90.0,-100.0,
248997,,-90.0,-100.0,
249001,,-90.0,-100.0,
249013,,-90.0,-100.0,
249018,,-90.0,-100.0,
249034,,-90.0,-100.0,
249043,,-90.0,-100.0,
249062,,-90.0,-100.0,
249066,,-90.0,-100.0,
249080,,-90.0,-100.0,
249086,,-90.0,-100.0,
249110,,-90.0,-100.0,
251043,,-90.0,-100.0,
251060,,-90.0,-100.0,
251068,,-90.0,-100.0,
251087,,-90.0,-100.0,
251119,,-90.0,-100.0,
251141,,-90.0,-100.0,
251151,,-90.0,-100.0,
251166,,-90.0,-100.0,
251171,,-90.0,-100.0,
251185,,-90.0,-100.0,
251191,,-90.0,-100.0,
251206,,-90.0,-100.0,
251216,,-90.0,-100.0,
251238,,-90.0,-100.0,
251245,,-90.0,-100.0,
251265,,-90.0,-100.0,
251275,,-90.0,-100.0,
251291,,-90.0,-100.0,
251299,,-90.0,-100.0,
251309,,-90.0,-100.0,
251315,,-90.0,-100.0,
251334,,-90.0,-100.0,
251340,,-90.0,-100.0,
251352,,-90.0,-100.0,
251358,,-90.0,-100.0,
251377,,-90.0,-100.0,
251382,,-90.0,-100.0,
251399,,-90.0,-100.0,
251407,,-90.0,-100.0,
251420,,-90.0,-100.0,
251425,,-90.0,-100.0,
251452,,-90.0,-100.0,
251456,,-90.0,-100.0,
251468,,-90.0,-100.0,
251472,,-90.0,-100.0,
251509,,-90.0,-100.0,
251515,,-90.0,-100.0,
251532,,-90.0,-100.0,
251538,,-90.0,-100.0,
251553,,-90.0,-100.0,
251561,,-90.0,-100.0,
251580,,-90.0,-100.0,
251585,,-90.0,-100.0,
251601,,-90.0,-100.0,
251612,,-90.0,-100.0,
251625,,-90.0,-100.0,
251633,,-90.0,-100.0,
251645,,-90.0,-100.0,
251653,,-90.0,-100.0,
251669,,-90.0,-100.0,
251675,,-90.0,-100.0,
251690,,-90.0,-100.0,
251697,,-90.0,-100.0,
251706,,-90.0,-100.0,
251716,,-90.0,-100.0,
251730,,-90.0,-100.0,
252279,,-90.0,-100.0,
252293,,-90.0,-100.0,
252301,,-90.0,-100.0,
252322,,-90.0,-100.0,
252335,,-90.0,-100.0,
252346,,-90.0,-100.0,
252354,,-90.0,-100.0,
252373,,-90.0,-100.0,
252382,,-90.0,-100.0,
252393,,-90.0,-100.0,
252401,,-90.0,-100.0,
252425,,-90.0,-100.0,
252433,,-90.0,-100.0,
252450,,-90.0,-100.0,
252459,,-90.0,-100.0,
252478,,-90.0,-100.0,
252486,,-90.0,-100.0,
252502,,-90.0,-100.0,
252506,,-90.0,-100.0,
252524,,-90.0,-100.0,
252531,,-90.0,-100.0,
252548,,-90.0,-100.0,
252555,,-90.0,-100.0,
252577,,-90.0,-100.0,
252582,,-90.0,-100.0,
252603,,-90.0,-100.0,
252609,,-90.0,-100.0,
252624,,-90.0,-100.0,
252630,,-90.0,-100.0,
252641,,-90.0,-100.0,
252654,,-90.0,-100.0,
252674,,-90.0,-100.0,
252681,,-90.0,-100.0,
252694,,-90.0,-100.0,
252704,,-90.0,-100.0,
252734,,-90.0,-100.0,
252741,,-90.0,-100.0,
252758,,-90.0,-100.0,
254485,,-90.0,-100.0,
254504,,-90.0,-100.0,
254535,,-90.0,-100.0,
254552,,-90.0,-100.0,
254568,,-90.0,-100.0,
254585,,-90.0,-100.0,
254602,,-90.0,-100.0,
254619,,-90.0,-100.0,
254635,,-90.0,-100.0,
254651,,-90.0,-100.0,
259458,,-90.0,-100.0,
259475,,-91.0,-100.0,
259492,,-92.0,-100.0,
259509,,-93.0,-100.0,
259525,,-94.0,-100.0,
259542,,-95.0,-100.0,
259558,,-96.0,-100.0,
259575,,-98.0,-100.0,
259925,,-98.0,-100.0,
259943,,-99.0,-100.0,
259959,,-100.0,-100.0,
283698,,-100.0,-100.0,
283716,,-100.0,-99.0,
283762,,-100.0,-97.0,
283780,,-100.0,-96.0,
283799,,-100.0,-95.0,
283831,,-100.0,-93.0,
283863,,-100.0,-92.0,
284013,,-100.0,-92.0,
284031,,-100.0,-91.0,
284064,,-100.0,-89.0,
284081,,-100.0,-87.0,
284100,,-100.0,-86.0,
284112,,-100.0,-85.0,
284130,,-100.0,-84.0,
284581,,-100.0,-84.0,
284598,,-100.0,-83.0,
284629,,-100.0,-81.0,
284664,,-100.0,-79.0,
284680,,-100.0,-78.0,
284696,,-100.0,-77.0,
284714,,-100.0,-76.0,
284749,,-100.0,-75.0,
298296,,-100.0,-75.0,
298315,,-100.0,-76.0,
298350,,-100.0,-78.0,
298397,,-100.0,-81.0,
298429,,-100.0,-83.0,
298463,,-100.0,-85.0,
298495,,-100.0,-87.0,
298514,,-100.0,-88.0,
298545,,-100.0,-90.0,
