,ACBG07QLGIDP0,AOEGJLWFISOZQ,ACM1CEGHXTKZP
135477,-100.0,-100.0,-100.0
135510,-100.0,-100.0,-100.0
135558,-100.0,-100.0,-100.0
135609,-100.0,-100.0,-100.0
135628,-100.0,-100.0,-100.0
135659,-100.0,-100.0,-100.0
135678,-100.0,-100.0,-100.0
135699,-100.0,-100.0,-100.0
135717,-100.0,-100.0,-100.0
135748,-100.0,-100.0,-100.0
136592,-100.0,-100.0,-100.0
136608,-100.0,-100.0,-100.0
136626,-100.0,-100.0,-100.0
136641,-100.0,-100.0,-100.0
136659,-100.0,-100.0,-100.0
136674,-100.0,-100.0,-100.0
136691,-100.0,-100.0,-100.0
136709,-100.0,-100.0,-100.0
136725,-100.0,-100.0,-100.0
136742,-100.0,-100.0,-100.0
136758,-100.0,-100.0,-100.0
136775,-100.0,-100.0,-100.0
136792,-100.0,-100.0,-100.0
136809,-100.0,-100.0,-100.0
136825,-100.0,-100.0,-100.0
138027,-100.0,-100.0,-100.0
138047,-100.0,-100.0,-100.0
138075,-100.0,-100.0,-100.0
138131,-100.0,-100.0,-100.0
138176,-100.0,-100.0,-100.0
138207,-100.0,-100.0,-100.0
138227,-100.0,-100.0,-100.0
138242,-100.0,-100.0,-100.0
138257,-100.0,-100.0,-100.0
138275,-100.0,-100.0,-100.0
138278,-100.0,-100.0,-100.0
138291,-100.0,-100.0,-100.0
138293,-100.0,-100.0,-100.0
138309,-100.0,-100.0,-100.0
138323,-100.0,-100.0,-100.0
138326,-100.0,-100.0,-100.0
138341,-100.0,-100.0,-100.0
138344,-100.0,-100.0,-100.0
138359,-100.0,-100.0,-100.0
138375,-100.0,-100.0,-100.0
138377,-100.0,-100.0,-100.0
138392,-100.0,-100.0,-100.0
138396,-100.0,-100.0,-100.0
138408,-100.0,-100.0,-100.0
138424,-100.0,-100.0,-100.0
138442,-100.0,-100.0,-100.0
138493,-100.0,-100.0,-100.0
138515,-100.0,-100.0,-100.0
138542,-100.0,-100.0,-100.0
138558,-100.0,-100.0,-100.0
138576,-100.0,-100.0,-100.0
138592,-100.0,-100.0,-100.0
138609,-100.0,-100.0,-100.0
138710,-100.0,-100.0,-100.0
138728,-100.0,-100.0,-100.0
138761,-100.0,-100.0,-100.0
138777,-100.0,-100.0,-100.0
138792,-100.0,-100.0,-100.0
138809,-100.0,-100.0,-100.0
140075,-100.0,-100.0,-100.0
140092,-100.0,-100.0,-100.0
140109,-100.0,-100.0,-100.0
140126,-100.0,-100.0,-100.0
140142,-100.0,-100.0,-100.0
140159,-100.0,-100.0,-100.0
140175,-100.0,-100.0,-100.0
140192,-100.0,-100.0,-100.0
140209,-100.0,-100.0,-100.0
140225,-100.0,-100.0,-100.0
140242,-100.0,-100.0,-100.0
140259,-100.0,-100.0,-100.0
140275,-100.0,-100.0,-100.0
140492,-100.0,-100.0,-100.0
140509,-100.0,-100.0,-100.0
140525,-100.0,-100.0,-100.0
141842,-100.0,-100.0,-100.0
141860,-100.0,-100.0,-100.0
141891,-100.0,-100.0,-100.0
141909,-100.0,-100.0,-100.0
141926,-100.0,-100.0,-100.0
141947,-100.0,-100.0,-100.0
144827,-100.0,-100.0,-100.0
144843,-100.0,-100.0,-100.0
144877,-100.0,-100.0,-100.0
144909,-100.0,-100.0,-100.0
144942,-100.0,-100.0,-100.0
145043,-100.0,-100.0,-100.0
145063,-100.0,-100.0,-100.0
145129,-100.0,-100.0,-100.0
145178,-100.0,-100.0,-100.0
145258,-100.0,-100.0,-100.0
145281,-100.0,-100.0,-100.0
145328,-100.0,-100.0,-100.0
145343,-100.0,-100.0,-100.0
145360,-100.0,-100.0,-100.0
145375,-100.0,-100.0,-100.0
145491,-100.0,-100.0,-100.0
145509,-100.0,-100.0,-100.0
182542,-100.0,-100.0,-100.0
182558,-100.0,-100.0,-100.0
182576,-100.0,-100.0,-100.0
182592,-100.0,-100.0,-100.0
182609,-100.0,-100.0,-100.0
182625,-100.0,-100.0,-100.0
182642,-100.0,-100.0,-100.0
182659,-100.0,-100.0,-100.0
182675,-100.0,-100.0,-100.0
182688,-100.0,-100.0,-100.0
182692,-100.0,-100.0,-100.0
182703,-100.0,-100.0,-100.0
182706,-100.0,-100.0,-100.0
182709,-100.0,-100.0,-100.0
182725,-100.0,-100.0,-100.0
182732,-100.0,-100.0,-100.0
182737,-100.0,-100.0,-100.0
182741,-100.0,-100.0,-100.0
182742,-100.0,-100.0,-100.0
182759,-100.0,-100.0,-100.0
182771,-100.0,-100.0,-100.0
182775,-100.0,-100.0,-100.0
182777,-100.0,-100.0,-100.0
182787,-100.0,-100.0,-100.0
182792,-100.0,-100.0,-100.0
182805,-100.0,-100.0,-100.0
182808,-100.0,-100.0,-100.0
182809,-100.0,-100.0,-100.0
182823,-100.0,-100.0,-100.0
182825,-100.0,-100.0,-100.0
182827,-100.0,-100.0,-100.0
182842,-100.0,-100.0,-100.0
182843,-100.0,-100.0,-100.0
182856,-100.0,-100.0,-100.0
182858,-100.0,-100.0,-100.0
182859,-100.0,-100.0,-100.0
182875,-100.0,-100.0,-100.0
182889,-100.0,-100.0,-100.0
182892,-100.0,-100.0,-100.0
182904,-100.0,-100.0,-100.0
182909,-100.0,-100.0,-100.0
182925,-100.0,-100.0,-100.0
182926,-100.0,-100.0,-100.0
182938,-100.0,-100.0,-100.0
182942,-100.0,-100.0,-100.0
182943,-100.0,-100.0,-100.0
