,A2APLCDM5WB4D,AZSSG2REHDX18,AF8GOPFSTWCH8,AD2M4BF7KYVQW,ASL9LVC97FUCZ
11048,,-100.0,,-100.0,-32.0
11065,,-100.0,,-100.0,-32.0
11082,,-100.0,,-100.0,-32.0
11099,,-100.0,,-100.0,-32.0
11632,,-100.0,,-100.0,-32.0
11649,,-100.0,,-100.0,-32.0
11666,,-100.0,,-100.0,-32.0
11682,,-100.0,,-100.0,-32.0
11699,,-100.0,,-100.0,-32.0
11716,,-100.0,,-100.0,-32.0
11732,,-100.0,,-100.0,-32.0
11749,,-100.0,,-100.0,-32.0
11766,,-100.0,,-100.0,-32.0
11783,,-100.0,,-100.0,-32.0
11786,,-100.0,,-100.0,-32.0
11799,,-100.0,,-100.0,-32.0
11804,,-100.0,,-100.0,-32.0
11820,,-100.0,,-100.0,-32.0
11837,,-100.0,,-100.0,-32.0
11853,,-100.0,,-100.0,-32.0
11870,,-100.0,,-100.0,-32.0
11886,,-100.0,,-100.0,-32.0
11903,,-100.0,,-100.0,-32.0
11920,,-100.0,,-100.0,-32.0
12238,,-100.0,,-100.0,-32.0
12255,,-99.0,,-100.0,-32.0
12269,,-98.0,,-100.0,-32.0
12284,,-97.0,,-100.0,-32.0
12301,,-96.0,,-100.0,-32.0
12326,,-95.0,,-100.0,-32.0
12336,,-94.0,,-100.0,-32.0
12341,,-93.0,,-100.0,-32.0
12353,,-92.5,,-100.0,-32.0
12356,,-92.0,,-100.0,-32.0
12370,,-91.5,,-100.0,-32.0
12372,,-91.0,,-100.0,-32.0
12386,,-90.5,,-100.0,-32.0
12388,,-90.0,,-100.0,-32.0
12402,,-89.0,,-100.0,-32.0
12403,,-88.5,,-100.0,-32.0
12419,,-88.0,,-100.0,-32.0
12420,,-87.66666666666667,,-100.0,-32.0
12436,,-87.33333333333333,,-100.0,-32.0
12445,,-87.0,,-100.0,-32.0
12651,,-87.0,,-100.0,-32.0
12652,0.0,-87.0,,-100.0,-32.0
12711,1.0,-87.0,,-100.0,-32.0
12771,3.0,-87.0,,-100.0,-32.0
12811,5.0,-87.0,,-100.0,-32.0
12852,7.0,-87.0,,-100.0,-32.0
12889,8.0,-87.0,,-100.0,-32.0
12897,9.0,-86.5,,-100.0,-32.0
12908,9.142857142857142,-86.0,,-100.0,-32.0
12921,9.285714285714286,-85.0,,-100.0,-32.0
12937,9.428571428571429,-83.0,,-100.0,-32.0
12952,9.571428571428571,-82.0,,-100.0,-32.0
12978,9.714285714285714,-81.0,,-100.0,-32.0
12992,9.857142857142858,-80.0,,-100.0,-32.0
13007,10.0,-79.0,,-100.0,-32.0
13024,10.142857142857142,-78.0,,-100.0,-32.0
13040,10.285714285714285,-77.0,,-100.0,-32.0
13214,10.428571428571429,-77.0,,-100.0,-32.0
13265,10.571428571428571,-77.0,,-99.0,-32.0
13314,10.714285714285714,-77.0,,-97.0,-32.0
13334,10.857142857142858,-77.0,,-96.0,-32.0
13476,11.0,-77.0,,-96.0,-32.0
13532,12.0,-77.0,,-96.0,-32.0
13591,15.0,-77.0,,-96.0,-32.0
13651,18.0,-77.0,,-96.0,-32.0
14071,19.0,-77.0,,-96.0,-32.0
14131,20.0,-77.0,,-96.0,-32.0
14191,23.0,-77.0,,-96.0,-32.0
14232,25.0,-77.0,,-96.0,-32.0
14291,28.0,-77.0,,-96.0,-32.0
14292,,-77.0,,-96.0,-32.0
14821,,-77.0,,-96.0,-32.0
14841,,-77.0,,-96.0,-32.0
14871,,-77.0,,-96.0,-32.0
14905,,-77.0,,-96.0,-32.0
14921,,-77.0,,-96.0,-32.0
14938,,-77.0,,-96.0,-32.0
14956,,-77.0,,-96.0,-32.0
14988,,-77.0,,-96.0,-32.0
15021,,-77.0,,-96.0,-32.0
15038,,-77.0,,-96.0,-32.0
15054,,-77.0,,-96.0,-32.0
15073,,-77.0,,-96.0,-32.0
15091,,-77.0,,-96.0,-32.0
15122,,-77.0,,-96.0,-32.0
15138,,-77.0,,-96.0,-32.0
15171,,-77.0,,-96.0,-32.0
16308,,-77.0,,-96.0,-32.0
16309,,-77.0,-40.0,-96.0,-32.0
16344,,-77.0,-39.0,-96.0,-32.0
16391,,-77.0,-36.0,-96.0,-32.0
16425,,-77.0,-34.0,-96.0,-32.0
16472,,-77.0,-31.0,-96.0,-32.0
16473,,-77.0,,-96.0,-32.0
17140,,-77.0,,-96.0,-32.0
17141,31.0,-77.0,,-96.0,-32.0
17182,32.0,-77.0,,-96.0,-32.0
17241,35.0,-77.0,,-96.0,-32.0
17281,36.0,-77.0,,-96.0,-32.0
17500,36.0,-77.0,,-96.0,-32.0
17518,36.0,-77.0,,-96.0,-32.0
17549,36.0,-77.0,,-96.0,-32.0
17565,36.0,-77.0,,-96.0,-32.0
17584,36.0,-77.0,,-96.0,-32.0
17634,36.0,-77.0,,-96.0,-32.0
17981,36.0,-77.0,,-96.0,-32.0
18002,36.0,-77.0,,-96.0,-32.0
18032,36.0,-77.0,,-96.0,-32.0
18067,36.0,-77.0,,-96.0,-32.0
18085,36.0,-77.0,,-96.0,-32.0
18595,36.0,-77.0,,-96.0,-32.0
18596,36.0,-77.0,-30.0,-96.0,-32.0
18615,36.0,-77.0,-29.5,-96.0,-32.0
18631,36.0,-77.0,-29.0,-96.0,-31.5
18633,36.0,-77.0,-28.0,-96.0,-31.0
18678,36.0,-77.0,-27.0,-96.0,-29.5
18681,36.0,-77.0,-26.333333333333332,-96.0,-28.0
18699,36.0,-77.0,-25.666666666666668,-96.0,-27.0
18713,36.0,-77.0,-25.0,-96.0,-26.5
18715,36.0,-77.0,-24.25,-96.0,-26.0
18731,36.0,-77.0,-23.5,-96.0,-25.0
18748,36.0,-77.0,-22.75,-96.0,-24.0
18759,36.0,-77.0,-22.0,-96.0,-23.5
18765,36.0,-77.0,-21.0,-96.0,-23.0
18794,36.0,-77.0,-20.0,-96.0,-21.5
18798,36.0,-77.0,-20.0,-96.0,-20.0
18816,36.0,-77.0,-20.0,-96.0,-19.0
18831,36.0,-77.0,-20.0,-96.0,-18.0
18848,36.0,-77.0,-20.0,-96.0,-17.0
18866,36.0,-77.0,-20.0,-96.0,-16.0
18881,36.0,-77.0,-20.0,-96.0,-15.0
18899,36.0,-77.0,-20.0,-96.0,-14.0
18915,36.0,-77.0,-20.0,-96.0,-13.0
18931,36.0,-77.0,-20.0,-96.0,-12.0
18948,36.0,-77.0,-20.0,-96.0,-10.0
18965,36.0,-77.0,-20.0,-96.0,-9.0
18982,36.0,-77.0,-20.0,-96.0,-8.0
18998,36.0,-77.0,-20.0,-96.0,-7.0
19015,36.0,-77.0,-20.0,-96.0,-6.0
19031,36.0,-77.0,-20.0,-96.0,-5.0
19048,36.0,-77.0,-20.0,-96.0,-4.0
19065,36.0,-77.0,-20.0,-96.0,-3.0
19081,36.0,-77.0,-20.0,-96.0,-2.0
19098,36.0,-77.0,-20.0,-96.0,0.0
19115,36.0,-77.0,-20.0,-96.0,1.0
19131,36.0,-77.0,-20.0,-96.0,2.0
19148,36.0,-77.0,-20.0,-96.0,3.0
19165,36.0,-77.0,-20.0,-96.0,4.0
19181,36.0,-77.0,-20.0,-96.0,5.0
19199,36.0,-77.0,-20.0,-96.0,6.0
19232,36.0,-77.0,-20.0,-96.0,8.0
19248,36.0,-77.0,-20.0,-96.0,10.0
19265,36.0,-77.0,-20.0,-96.0,11.0
19283,36.0,-77.0,-20.0,-96.0,12.0
19298,36.0,-77.0,-20.0,-96.0,13.0
19315,36.0,-77.0,-20.0,-96.0,14.0
19331,36.0,-77.0,-20.0,-96.0,15.0
19348,36.0,-77.0,-20.0,-96.0,16.0
19365,36.0,-77.0,-20.0,-96.0,17.0
19381,36.0,-77.0,-20.0,-96.0,18.0
19399,36.0,-77.0,-20.0,-96.0,19.0
19417,36.0,-77.0,-20.0,-96.0,21.0
19418,36.0,-77.0,-20.0,-96.0,
22945,36.0,-77.0,-20.0,-96.0,
22962,36.0,-77.0,-20.0,-96.0,
22978,36.0,-77.0,-20.0,-96.0,
22995,36.0,-77.0,-20.0,-96.0,
23011,36.0,-77.0,-20.0,-96.0,
23028,36.0,-77.0,-20.0,-96.0,
23045,36.0,-77.0,-20.0,-96.0,
23062,36.0,-77.0,-20.0,-96.0,
23148,36.0,-77.0,-20.0,-96.0,
