,A9ZBEA4T2FNZ3,ADYYCYVBZE1V
82782,97.0,-38.0
82805,97.0,-38.0
82850,97.0,-38.0
82866,97.0,-38.0
82879,97.0,-38.0
82906,97.0,-37.0
82915,97.0,-36.5
82930,97.0,-36.0
82933,97.0,-35.0
82950,97.0,-34.0
82973,97.0,-33.0
82982,97.0,-33.0
83001,97.0,-33.0
83017,97.0,-33.0
83049,97.0,-33.0
83055,97.0,-33.0
83080,97.0,-33.0
83133,97.0,-33.0
83153,97.0,-33.0
83157,97.0,-33.0
83174,97.0,-31.0
83200,97.0,-30.0
83218,97.0,-29.0
83225,97.0,-28.0
83251,97.0,-26.0
83265,97.0,-25.666666666666668
83274,97.0,-25.333333333333332
83278,97.0,-25.0
83304,97.0,-23.0
83324,97.0,-23.0
83343,97.0,-23.0
83402,97.0,-23.0
83422,97.0,-23.0
83451,97.0,-23.0
83470,97.0,-22.666666666666668
83479,97.0,-22.333333333333332
83505,97.0,-22.0
83516,97.0,-21.666666666666668
83529,97.0,-21.333333333333332
83556,97.0,-21.0
83568,97.0,-21.0
83583,97.0,-21.0
83633,97.0,-21.0
83653,97.0,-21.0
83699,97.0,-21.0
83709,97.0,-21.0
83758,97.0,-21.0
83779,97.0,-21.0
83825,97.0,-21.0
83839,97.0,-21.0
83851,97.0,-21.0
83874,97.0,-21.0
83909,97.0,-21.0
83929,97.0,-21.0
83934,97.0,-22.0
83958,97.0,-23.0
83996,97.0,-24.0
84008,97.0,-25.0
84025,97.0,-26.0
84027,97.0,-27.0
84052,97.0,-28.0
84090,97.0,-28.0
84111,97.0,-28.0
84153,97.0,-28.0
84181,97.0,-28.0
84199,97.0,-28.5
84214,97.0,-29.0
84228,97.0,-29.5
84250,97.0,-30.0
84276,97.0,-31.0
84302,97.0,-33.0
84329,97.0,-34.0
84450,97.0,-34.0
84478,97.0,-35.0
84501,97.0,-36.0
84527,97.0,-38.0
84555,97.0,-39.0
84581,97.0,-41.0
84607,97.0,-42.0
84701,97.0,-42.0
84730,97.0,-43.0
84754,97.0,-45.0
84784,97.0,-47.0
84834,97.0,-49.0
84927,97.0,-49.0
84956,97.0,-50.0
84983,97.0,-51.0
85008,97.0,-53.0
85034,97.0,-54.0
85157,97.0,-54.0
85209,97.0,-56.0
85258,97.0,-59.0
85285,97.0,-60.0
85405,97.0,-60.0
85433,97.0,-61.0
85460,97.0,-62.0
85483,97.0,-64.0
85510,97.0,-65.0
85526,97.0,-67.0
85657,97.0,-67.0
85686,97.0,-69.0
85737,97.0,-72.0
85830,97.0,-72.0
