,AHLS6AZ1VTNH7,A3UTSRN8QLKWE,A21V0SPZ59EEA
84393,87.0,,
84407,87.0,,
84412,87.0,,
84424,87.0,,
84426,87.0,,
84440,87.0,,
84443,87.0,,
84457,87.0,,
84460,87.0,,
84475,87.0,,
84478,87.0,,
84491,87.0,,
84558,87.0,,
84574,87.0,,
84579,87.0,,
84590,87.0,,
84594,87.0,,
84607,87.0,,
84610,87.0,,
84623,87.0,,
84626,87.0,,
84640,87.0,,
84643,87.0,,
84657,87.0,,
84661,87.0,,
84674,87.0,,
84676,87.0,,
84690,87.0,,
84693,87.0,,
84708,87.0,,
84775,87.0,,
84790,87.0,,
84795,87.0,,
84807,87.0,,
84810,87.0,,
84825,87.0,,
84830,87.0,,
84840,87.0,,
84845,87.0,,
84858,87.0,,
86159,87.0,,
86174,87.0,,
86178,87.0,,
86207,87.0,,
86212,87.0,,
86225,87.0,,
86229,87.0,,
86257,87.0,,
87075,87.0,,
87090,87.0,,
87093,87.0,,
87107,87.0,,
87110,87.0,,
87124,87.0,,
87127,87.0,,
87140,87.0,,
87144,87.0,,
87157,87.0,,
87161,87.0,,
87175,87.0,,
87178,87.0,,
87191,87.0,,
87194,87.0,,
87207,87.0,,
87210,87.0,,
87223,87.0,,
87360,87.0,,
87374,87.0,,
87378,87.0,,
87392,87.0,,
87397,87.0,,
87425,87.0,,
87428,87.0,,
87441,87.0,,
87444,87.0,,
87457,87.0,,
87460,87.0,,
87474,87.0,,
87974,87.0,,
87991,87.0,,
87995,87.0,,
88007,87.0,,
88010,87.0,,
88024,87.0,,
88026,87.0,,
88041,87.0,,
88045,87.0,,
88056,87.0,,
88059,87.0,,
88075,87.0,,
88078,87.0,,
88090,87.0,,
88175,87.0,,
88190,87.0,,
88194,87.0,,
88207,87.0,,
88210,87.0,,
88223,87.0,,
88226,87.0,,
88243,87.0,,
88247,87.0,,
88256,87.0,,
88260,87.0,,
88273,87.0,,
88277,87.0,,
88290,87.0,,
88293,87.0,,
88307,87.0,,
88374,87.0,,
88389,87.0,,
88393,87.0,,
88407,87.0,,
88411,87.0,,
88424,87.0,,
88425,87.0,,
88426,87.0,,
88440,87.0,,
88448,87.0,,
88455,87.0,,
88472,87.0,,
88474,87.0,,
88499,87.0,,
88510,87.0,,
88539,87.0,,
88555,87.0,,
88579,87.0,,
88595,87.0,,
88621,87.0,,
88635,87.0,,
88661,87.0,,
88678,87.0,,
88704,87.0,,
88723,87.0,,
88746,87.0,,
88760,87.0,,
88787,87.0,,
88801,87.0,,
88824,87.0,,
88837,87.0,,
88860,87.0,,
88875,87.0,,
88899,87.0,,
88913,87.0,,
88936,87.0,,
88952,87.0,,
88977,87.0,,
88992,87.0,,
89015,87.0,,
89031,87.0,,
89056,87.0,,
89071,87.0,,
89094,87.0,,
89109,87.0,,
89134,87.0,,
89150,87.0,,
89174,87.0,,
89188,87.0,,
89212,87.0,,
89230,87.0,,
89266,87.0,,
89280,87.0,,
89311,87.0,,
89326,87.0,,
89356,87.0,,
89418,87.0,,
89438,87.0,,
