,AF50K5H2FJWW0,A4WBW7FVQASZE,AQ3KPKZ6UIYPF
13680,-82.66666666666667,-100.0,-100.0
13681,-83.0,-100.0,-100.0
13686,-83.0,-100.0,-100.0
13690,-83.6,-100.0,-100.0
13697,-84.2,-100.0,-100.0
13701,-84.8,-100.0,-100.0
13703,-85.4,-100.0,-100.0
13716,-86.0,-100.0,-100.0
13718,-86.5,-100.0,-100.0
13723,-87.0,-100.0,-100.0
13729,-87.0,-100.0,-100.0
13741,-87.66666666666667,-100.0,-100.0
13754,-88.33333333333333,-100.0,-100.0
13758,-89.0,-100.0,-100.0
13760,-89.0,-100.0,-100.0
13763,-89.0,-100.0,-100.0
13766,-89.33333333333333,-100.0,-100.0
13771,-89.66666666666667,-100.0,-100.0
13775,-90.0,-100.0,-100.0
13776,-90.0,-100.0,-100.0
13782,-90.0,-100.0,-100.0
13783,-90.33333333333333,-100.0,-100.0
13785,-90.66666666666667,-100.0,-100.0
13792,-91.0,-100.0,-100.0
13796,-91.0,-100.0,-100.0
13808,-91.0,-100.0,-100.0
13816,-91.0,-100.0,-100.0
13822,-91.33333333333333,-100.0,-100.0
13824,-91.66666666666667,-100.0,-100.0
13828,-92.0,-100.0,-100.0
13830,-92.0,-100.0,-100.0
13831,-92.0,-100.0,-100.0
13834,-92.0,-100.0,-100.0
13845,-93.0,-100.0,-100.0
13846,-93.0,-100.0,-100.0
13851,-93.0,-100.0,-100.0
13866,-94.0,-100.0,-100.0
13886,-94.0,-100.0,-100.0
14089,-94.0,-100.0,-100.0
14134,-94.0,-100.0,-100.0
14237,-94.0,-100.0,-100.0
14273,-94.0,-100.0,-100.0
14317,-94.0,-100.0,-100.0
14342,-94.0,-100.0,-100.0
14365,-94.0,-100.0,-100.0
14409,-94.0,-100.0,-100.0
14439,-94.0,-100.0,-100.0
14484,-94.0,-100.0,-100.0
14529,-94.0,-100.0,-100.0
14621,-94.0,-100.0,-100.0
14639,-94.0,-100.0,-100.0
14682,-94.0,-100.0,-100.0
14738,-94.0,-100.0,-100.0
14763,-94.0,-100.0,-100.0
14870,-94.0,-100.0,-100.0
14889,-94.0,-100.0,-100.0
14895,-94.0,-100.0,-100.0
14962,-94.0,-100.0,-100.0
15051,-94.0,-100.0,-100.0
15076,-94.0,-100.0,-100.0
15133,-94.0,-100.0,-100.0
15175,-94.0,-100.0,-100.0
15195,-94.0,-100.0,-100.0
15262,-94.0,-100.0,-100.0
15292,-94.0,-100.0,-100.0
15343,-94.0,-100.0,-100.0
15395,-94.0,-100.0,-100.0
15430,-94.0,-100.0,-100.0
15456,-94.0,-100.0,-100.0
15510,-94.0,-100.0,-100.0
15525,-94.0,-100.0,-100.0
15594,-94.0,-100.0,-100.0
15605,-94.0,-100.0,-100.0
15637,-94.0,-100.0,-100.0
15722,-94.0,-100.0,-100.0
15750,-94.0,-100.0,-100.0
15818,-94.0,-100.0,-100.0
15844,-94.0,-100.0,-100.0
15859,-94.0,-100.0,-100.0
15906,-94.0,-100.0,-100.0
15966,-94.0,-100.0,-100.0
15992,-94.0,-100.0,-100.0
16008,-94.0,-100.0,-100.0
16063,-94.0,-100.0,-100.0
16150,-94.0,-100.0,-100.0
16189,-94.0,-100.0,-100.0
16203,-94.0,-100.0,-100.0
16234,-94.0,-100.0,-100.0
16376,-94.0,-100.0,-100.0
16403,-94.0,-100.0,-100.0
16470,-94.0,-100.0,-100.0
16520,-94.0,-100.0,-100.0
16532,-94.0,-100.0,-100.0
16606,-94.0,-100.0,-100.0
16669,-94.0,-100.0,-100.0
16713,-94.0,-100.0,-100.0
16731,-94.0,-100.0,-100.0
16854,-94.0,-100.0,-100.0
16910,-94.0,-100.0,-100.0
16971,-94.0,-100.0,-100.0
16997,-94.0,-100.0,-100.0
17023,-94.0,-100.0,-100.0
17044,-94.0,-100.0,-100.0
17222,-94.0,-100.0,-100.0
17257,-94.0,-100.0,-100.0
17273,-94.0,-100.0,-100.0
17360,-94.0,-100.0,-100.0
17540,-94.0,-100.0,-100.0
17567,-94.0,-100.0,-100.0
17621,-94.0,-100.0,-100.0
17658,-94.0,-100.0,-100.0
17666,-94.0,-100.0,-100.0
17725,-94.0,-100.0,-100.0
17759,-94.0,-100.0,-100.0
17823,-94.0,-100.0,-100.0
18138,-94.0,-100.0,-100.0
